7,39,43,139
x,y,z
1.70469,0.568571,5.107
1.7084,0.555899,5.118
1.71144,0.552391,5.086
1.7221,0.551382,5.077
1.70876,0.542108,5.119
1.71214,0.538794,5.088
1.72485,0.538445,5.085
1.70813,0.528001,5.117
1.71284,0.525184,5.09
1.72827,0.52567,5.095
1.70983,0.514608,5.122
1.71355,0.511563,5.092
1.72898,0.512036,5.097
1.71219,0.501383,5.129
1.71492,0.498127,5.096
1.72935,0.498293,5.098
1.7149,0.488213,5.137
1.71596,0.484572,5.099
1.7287,0.484258,5.096
1.71793,0.475092,5.146
1.71969,0.47174,5.11
1.73144,0.471158,5.104
1.7223,0.46228,5.159
1.72309,0.458757,5.12
1.7352,0.458281,5.115
1.72633,0.44931,5.171
1.72648,0.445719,5.13
1.73726,0.44491,5.121
1.7297,0.436105,5.181
1.72853,0.43229,5.136
1.73932,0.431506,5.127
1.75042,0.430807,5.119
1.7314,0.422438,5.186
1.72956,0.418584,5.139
1.74071,0.417906,5.131
1.75112,0.417066,5.121
1.73026,0.404781,5.141
1.74073,0.403969,5.131
1.75149,0.403236,5.122
1.73332,0.391499,5.15
1.74211,0.390335,5.135
1.75357,0.389779,5.128
1.7357,0.378022,5.157
1.74519,0.377045,5.144
1.7553,0.376216,5.133
1.26478,-0.0401654,3.669
1.25064,-0.0495763,3.628
1.13946,-0.0641469,3.358
1.1347,-0.0729683,3.344
1.21237,-0.0767333,3.517
1.15404,-0.0834558,3.401
1.24339,-0.0884992,3.607
1.15268,-0.0925903,3.397
1.26613,-0.1001,3.673
0.46424,-0.447878,2.137
0.470907,-0.448691,2.141
0.4653,-0.454729,2.142
0.472861,-0.456402,2.15
0.477348,-0.455102,2.144
0.481125,-0.453167,2.135
0.484853,-0.451231,2.126
0.465492,-0.460746,2.143
0.473055,-0.462441,2.151
0.477767,-0.46134,2.146
0.482001,-0.45981,2.139
0.485968,-0.458065,2.131
0.490353,-0.45675,2.125
0.495638,-0.456295,2.123
0.501148,-0.456055,2.122
0.505458,-0.454741,2.116
0.510701,-0.454286,2.114
0.51691,-0.454691,2.116
0.524611,-0.456386,2.124
0.530607,-0.456576,2.125
0.536861,-0.456981,2.127
0.466118,-0.467204,2.146
0.47369,-0.46892,2.154
0.478187,-0.467588,2.148
0.482652,-0.466257,2.142
0.486855,-0.464708,2.135
0.49125,-0.463377,2.129
0.496313,-0.462698,2.126
0.501832,-0.462456,2.125
0.506866,-0.461778,2.122
0.512609,-0.461753,2.122
0.519084,-0.462381,2.125
0.52681,-0.464097,2.133
0.53333,-0.464725,2.136
0.538856,-0.464483,2.135
0.466093,-0.473016,2.146
0.474104,-0.475195,2.156
0.478829,-0.474067,2.151
0.483753,-0.47316,2.147
0.488426,-0.472033,2.142
0.49284,-0.470685,2.136
0.497689,-0.469779,2.132
0.503223,-0.469533,2.131
0.508752,-0.469288,2.13
0.514517,-0.469263,2.13
0.520769,-0.469679,2.132
0.527526,-0.470535,2.136
0.534054,-0.471172,2.139
0.539841,-0.471147,2.139
0.466501,-0.479274,2.148
0.475178,-0.482149,2.161
0.479694,-0.480785,2.155
0.484178,-0.47942,2.149
0.489312,-0.478726,2.146
0.494199,-0.477808,2.142
0.499998,-0.477783,2.142
0.505324,-0.477312,2.14
0.510877,-0.477064,2.139
0.516666,-0.477039,2.139
0.52221,-0.476791,2.138
0.528736,-0.477435,2.141
0.535528,-0.478303,2.145
0.465824,-0.484413,2.145
0.476251,-0.489129,2.166
0.481004,-0.487975,2.161
0.485504,-0.486594,2.155
0.490427,-0.485666,2.151
0.495328,-0.484737,2.147
0.50114,-0.484712,2.147
0.506479,-0.484235,2.145
0.512285,-0.48421,2.145
0.517607,-0.483734,2.143
0.523895,-0.484161,2.145
0.530193,-0.484587,2.147
0.536751,-0.48524,2.15
0.465582,-0.489992,2.144
0.476885,-0.495679,2.169
0.481869,-0.49474,2.165
0.48638,-0.493343,2.159
0.491542,-0.492632,2.156
0.496687,-0.491921,2.153
0.502282,-0.491668,2.152
0.507635,-0.491186,2.15
0.513454,-0.491161,2.15
0.519756,-0.491593,2.152
0.525824,-0.491796,2.153
0.532638,-0.492685,2.157
0.466859,-0.497183,2.15
0.478618,-0.503401,2.177
0.483846,-0.502682,2.174
0.488607,-0.5015,2.169
0.493796,-0.500781,2.166
0.498276,-0.499369,2.16
0.502957,-0.498187,2.155
0.508554,-0.497931,2.154
0.514862,-0.498369,2.156
0.521663,-0.499268,2.16
0.528486,-0.500168,2.164
0.53533,-0.501068,2.168
0.480571,-0.5114,2.186
0.485824,-0.510672,2.183
0.490384,-0.509243,2.177
0.495594,-0.508516,2.174
0.500327,-0.507321,2.169
0.505032,-0.506126,2.164
0.51089,-0.506101,2.164
0.517225,-0.506544,2.166
0.524295,-0.507688,2.171
0.531147,-0.508599,2.175
0.539009,-0.510445,2.183
0.438043,-0.483524,2.043
0.481645,-0.5185,2.191
0.487356,-0.518238,2.19
0.491935,-0.516792,2.184
0.496937,-0.51582,2.18
0.501224,-0.514139,2.173
0.506641,-0.51364,2.171
0.512754,-0.513852,2.172
0.519588,-0.514773,2.176
0.526927,-0.516168,2.182
0.534786,-0.518035,2.19
0.482498,-0.525387,2.195
0.488665,-0.525601,2.196
0.493711,-0.524618,2.192
0.498507,-0.523396,2.187
0.502814,-0.521695,2.18
0.508249,-0.521192,2.178
0.514617,-0.521645,2.18
0.52219,-0.523295,2.187
0.530524,-0.525663,2.197
0.538912,-0.528031,2.207
0.470883,-0.525059,2.169
0.482692,-0.53157,2.196
0.489307,-0.53227,2.199
0.495037,-0.532003,2.198
0.500077,-0.531009,2.194
0.505095,-0.530016,2.19
0.510091,-0.529023,2.186
0.516717,-0.529724,2.189
0.524791,-0.531877,2.198
0.533638,-0.534755,2.21
0.542061,-0.53715,2.22
0.483107,-0.538001,2.198
0.489949,-0.538955,2.202
