7,39,40,18
x,y,z
1.80766,1.50862,7.923
1.8305,1.50967,7.929
1.7863,1.48722,7.923
1.80912,1.48826,7.929
1.83128,1.48873,7.932
1.80922,1.46676,7.929
1.83183,1.46759,7.934
1.81068,1.44634,7.935
1.83077,1.44516,7.929
1.81442,1.42769,7.951
1.83363,1.4258,7.941
1.81862,1.4093,7.969
1.83696,1.40674,7.955
1.82031,1.3889,7.976
1.83866,1.38637,7.962
1.83829,1.36443,7.96
1.82208,1.34679,7.983
1.84161,1.34519,7.974
1.83939,1.32188,7.964
0.675147,0.375829,4.59
0.687193,0.375559,4.587
0.698304,0.374798,4.578
0.710451,0.374609,4.576
0.735509,0.37464,4.577
0.749591,0.375432,4.587
0.763061,0.375897,4.593
0.775379,0.375789,4.592
0.677672,0.364649,4.607
0.689464,0.364229,4.602
0.700159,0.363255,4.59
0.711873,0.362835,4.585
0.724506,0.36289,4.586
0.737463,0.363102,4.589
0.750597,0.363393,4.593
0.764084,0.363843,4.599
0.777263,0.364133,4.603
0.787372,0.363,4.589
0.690537,0.352204,4.609
0.701708,0.351493,4.6
0.71345,0.351087,4.595
0.725952,0.351063,4.595
0.73813,0.350887,4.593
0.751276,0.351168,4.597
0.764773,0.351601,4.603
0.779146,0.352417,4.614
0.692058,0.340361,4.619
0.703409,0.339749,4.611
0.714405,0.338989,4.601
0.726923,0.338966,4.601
0.738636,0.338574,4.596
0.751954,0.338919,4.601
0.765961,0.339558,4.61
0.780521,0.340418,4.622
0.774969,0.327408,4.446
0.697011,0.336218,4.738
0.695826,0.329526,4.644
0.705873,0.328298,4.627
0.717067,0.327637,4.618
0.72821,0.326976,4.609
0.740266,0.326741,4.606
0.752958,0.326789,4.607
0.768145,0.327901,4.623
0.783923,0.329225,4.642
0.779108,0.312064,4.401
0.882811,0.310504,4.382
0.697945,0.317803,4.658
0.707267,0.316281,4.636
0.717555,0.315236,4.621
0.729971,0.315147,4.62
0.7427,0.315193,4.621
0.756086,0.315512,4.626
0.770494,0.31624,4.637
0.786479,0.317581,4.657
0.796565,0.316535,4.642
0.77736,0.299376,4.391
0.786594,0.298331,4.376
0.797021,0.297763,4.368
0.807958,0.2974,4.363
0.81849,0.2969,4.356
0.829362,0.296537,4.351
0.840592,0.296309,4.348
0.853372,0.296627,4.353
0.86737,0.297354,4.364
0.700064,0.306003,4.672
0.709119,0.304411,4.648
0.71975,0.303539,4.635
0.73173,0.303256,4.631
0.74465,0.303366,4.633
0.757415,0.30341,4.634
0.771845,0.304108,4.645
0.786502,0.304872,4.657
0.796073,0.303672,4.639
0.771725,0.289773,4.427
0.778621,0.287853,4.398
0.787155,0.286588,4.379
0.79686,0.285782,4.367
0.807795,0.285433,4.362
0.8187,0.285084,4.357
0.830528,0.285062,4.357
0.841582,0.284778,4.353
0.854767,0.285214,4.36
0.868784,0.285911,4.371
0.701132,0.293686,4.679
0.711275,0.292599,4.662
0.721944,0.291763,4.649
0.734595,0.291743,4.649
0.747082,0.29166,4.648
0.760215,0.291828,4.651
0.773528,0.292058,4.655
0.788043,0.292727,4.666
0.771571,0.27763,4.426
0.780235,0.276417,4.407
0.788434,0.27508,4.386
0.797611,0.274118,4.371
0.80689,0.27322,4.357
0.818721,0.273199,4.357
0.830931,0.273303,4.359
0.842956,0.273345,4.36
0.856161,0.273762,4.367
0.870396,0.274493,4.379
0.69518,0.283689,4.725
0.70295,0.281629,4.691
0.713431,0.28071,4.676
0.724293,0.27997,4.664
0.736985,0.279951,4.664
0.749352,0.279811,4.662
0.76236,0.279912,4.664
0.775875,0.280192,4.669
0.789753,0.280591,4.676
0.772638,0.265911,4.432
0.780432,0.264451,4.408
0.788814,0.263232,4.388
0.797814,0.262252,4.372
0.807281,0.261452,4.359
0.818929,0.261372,4.358
0.831524,0.261592,4.362
0.843751,0.261692,4.364
0.857163,0.262151,4.372
0.870616,0.26261,4.38
0.695199,0.270785,4.725
0.704167,0.269277,4.699
0.714975,0.268514,4.686
0.726486,0.268037,4.678
0.739216,0.268019,4.678
0.752265,0.268114,4.68
0.765485,0.268267,4.683
0.779052,0.268534,4.688
0.791462,0.2684,4.686
0.770739,0.253185,4.421
0.778858,0.251906,4.399
0.788653,0.2512,4.387
0.800023,0.25101,4.384
0.810449,0.250532,4.376
0.82064,0.249998,4.367
0.831162,0.249578,4.36
0.843191,0.249616,4.361
0.857379,0.250283,4.373
0.872624,0.251236,4.39
0.705384,0.25688,4.707
0.716671,0.256317,4.697
0.727902,0.255754,4.687
0.740498,0.255682,4.686
0.753408,0.255718,4.687
0.767466,0.256136,4.695
0.781398,0.2565,4.702
0.794521,0.25659,4.704
0.771978,0.2415,4.428
0.779054,0.239955,4.4
0.78975,0.239555,4.393
0.800589,0.23921,4.387
0.811764,0.238973,4.383
0.821975,0.238464,4.374
0.832325,0.23801,4.366
0.84437,0.238046,4.367
