x,y,z
1.02152,1.21513,5.96728
1.02541,1.21254,5.94226
1.02541,1.21254,5.94226
1.03996,1.2301,5.95208
1.03073,1.19213,5.91633
1.01849,1.17865,5.85863
1.0219,1.19997,5.85472
1.00461,1.12386,5.79091
0.930243,1.16969,5.77765
0.985061,1.10958,5.67228
0.975795,1.1095,5.6275
0.971549,1.05709,5.60736
0.967908,1.01976,5.5799
0.956894,0.997154,5.49419
0.962495,1.00566,5.47308
0.984305,0.998005,5.4785
0.962512,0.948237,5.38365
0.96111,0.957879,5.29994
0.948875,0.93219,5.24882
0.938005,0.91029,5.1973
0.928206,0.878716,5.13137
0.913039,0.861462,5.07878
0.904464,0.846331,5.05106
0.890205,0.826712,4.97051
0.879305,0.798282,4.90315
0.8779,0.801581,4.89434
0.838439,0.793684,4.81113
0.850651,0.764172,4.76347
0.850651,0.764172,4.76347
0.813724,0.693384,4.59686
0.803177,0.656687,4.51723
0.788518,0.648122,4.46281
0.786122,0.638681,4.42206
0.773449,0.625567,4.32731
0.765972,0.615158,4.29204
0.753177,0.593301,4.22682
0.724354,0.55147,4.11081
0.720087,0.544304,4.09746
0.708395,0.517464,4.04852
0.688226,0.480223,3.96136
0.680804,0.467104,3.92941
0.663559,0.446217,3.85501
0.644434,0.432227,3.76959
0.629386,0.399546,3.69799
0.620536,0.380561,3.65378
0.603825,0.332694,3.5718
0.603078,0.323326,3.52659
0.584072,0.291095,3.42096
0.585803,0.279704,3.41082
0.567308,0.241869,3.34069
0.544757,0.249114,3.24574
0.544752,0.221007,3.20733
0.523809,0.176577,3.14579
0.514159,0.176542,3.10088
0.524935,0.120761,3.0353
0.500176,0.136411,2.96325
0.463692,0.142456,2.88926
0.473912,0.121475,2.84689
0.455364,0.0554699,2.73437
0.46062,-0.0503131,2.65985
0.450366,-0.0427811,2.57059
0.492314,-0.0803396,2.46504
0.453744,-0.123874,2.39722
0.464623,-0.116918,2.34534
0.449865,-0.217433,2.26746
0.458949,-0.152662,2.18656
0.449562,-0.121122,2.10301
0.444301,-0.142696,2.0521
0.433243,-0.136418,1.97731
0.422359,-0.152437,1.89091
0.416733,-0.168493,1.84415
0.40916,-0.19847,1.77851
0.406258,-0.213048,1.7434
0.411138,-0.225288,1.69596
0.400575,-0.23783,1.6463
0.416927,-0.221025,1.64055
