7,39,37,853
x,y,z
1.68082,1.51089,7.932
1.70103,1.50965,7.926
1.68961,1.49707,7.973
1.68737,1.47341,7.962
1.68734,1.43003,7.961
1.68637,1.40755,7.956
1.69054,1.32416,7.974
1.0313,0.88338,6.114
1.04706,0.882601,6.109
1.06017,0.879655,6.089
1.07352,0.876997,6.071
1.08875,0.875929,6.064
1.10393,0.874859,6.057
1.12074,0.87509,6.059
1.13756,0.87532,6.061
1.00047,0.854614,6.028
1.03102,0.866467,6.112
1.04745,0.86627,6.111
1.06092,0.863662,6.093
1.0757,0.862188,6.083
1.09078,0.860997,6.075
1.10709,0.860798,6.074
1.12302,0.860315,6.071
1.14719,0.866067,6.112
0.877421,0.830648,5.971
0.890521,0.827677,5.95
0.904266,0.825401,5.934
0.918697,0.823821,5.923
0.934959,0.823909,5.924
0.95283,0.825388,5.935
0.972717,0.828534,5.958
1.03158,0.850258,6.115
1.04888,0.850759,6.119
1.06289,0.848618,6.104
1.0777,0.847172,6.094
1.09299,0.846143,6.087
1.10933,0.845947,6.086
1.12696,0.846724,6.092
0.878792,0.815624,5.98
0.892815,0.81353,5.965
0.906144,0.810889,5.946
0.921694,0.810294,5.942
0.937378,0.809834,5.939
0.95529,0.811284,5.95
0.974402,0.813686,5.968
1.00639,0.826586,6.063
1.03332,0.834985,6.125
1.05065,0.835475,6.129
1.06538,0.833921,6.118
1.08023,0.832503,6.108
1.09484,0.830948,6.097
1.11304,0.832118,6.106
1.13017,0.832471,6.109
0.878988,0.79948,5.981
0.892565,0.797026,5.963
0.907413,0.795775,5.954
0.921899,0.794255,5.943
0.938848,0.794874,5.948
0.955983,0.795626,5.954
0.978045,0.800385,5.99
0.999305,0.804342,6.02
1.03523,0.819788,6.136
1.05259,0.820268,6.14
1.06805,0.819279,6.133
1.08241,0.817488,6.12
1.09759,0.816364,6.112
1.11382,0.816042,6.11
0.879182,0.783328,5.982
0.89396,0.781971,5.972
0.907766,0.779828,5.956
0.922724,0.778733,5.948
0.938109,0.778029,5.943
0.955712,0.779158,5.952
0.974341,0.781072,5.967
1.03816,0.805314,6.153
1.05505,0.805392,6.154
1.07002,0.804029,6.144
1.08476,0.802536,6.133
1.09872,0.800519,6.118
1.11679,0.801511,6.126
1.13213,0.80054,6.119
0.875646,0.778371,6.07
0.881728,0.76922,5.999
0.895654,0.767122,5.983
0.910557,0.76592,5.974
0.925099,0.764462,5.963
0.940841,0.76403,5.96
0.957046,0.763981,5.96
0.976023,0.766111,5.977
1.04243,0.791771,6.178
1.05698,0.790052,6.165
1.07199,0.788718,6.155
1.08694,0.787383,6.145
1.10237,0.786433,6.138
1.11703,0.78497,6.127
1.13403,0.785172,6.129
0.867324,0.75456,6.012
0.880745,0.752004,5.992
0.8957,0.750829,5.983
0.911214,0.750155,5.978
0.927784,0.750359,5.98
0.944362,0.750562,5.982
0.961912,0.751518,5.99
0.980319,0.7531,6.003
1.04585,0.777462,6.198
1.05892,0.77465,6.176
1.07344,0.772968,6.163
1.08894,0.772038,6.156
1.10476,0.771358,6.151
1.12091,0.770928,6.148
1.13853,0.771502,6.153
0.864195,0.735484,5.99
0.880202,0.735193,5.988
0.896345,0.735025,5.987
0.91309,0.735348,5.99
0.929382,0.735302,5.99
0.947093,0.736359,5.999
0.964369,0.737049,6.005
1.04742,0.761692,6.207
1.06172,0.7598,6.192
1.0754,0.75754,6.174
1.0897,0.755771,6.16
1.10625,0.755596,6.159
1.12279,0.755421,6.158
1.14099,0.75635,6.166
0.867269,0.721687,6.011
0.879953,0.718642,5.986
0.896091,0.718477,5.985
0.913593,0.719393,5.993
0.930049,0.719467,5.994
0.946824,0.719781,5.997
0.965219,0.721295,6.01
1.03011,0.74448,6.204
1.04747,0.74479,6.207
1.06297,0.74378,6.199
1.07667,0.74157,6.181
1.09099,0.73984,6.167
1.1072,0.739429,6.164
1.12448,0.739737,6.167
1.14234,0.740405,6.173
0.883231,0.704915,6.008
0.89868,0.704167,6.002
0.915162,0.70424,6.003
0.931491,0.704195,6.003
0.948291,0.704502,6.006
0.967996,0.706919,6.027
0.989608,0.710626,6.059
1.02899,0.726763,6.197
1.0455,0.72648,6.195
1.06216,0.726313,6.194
1.07725,0.725091,6.184
1.09245,0.723986,6.175
1.10886,0.723701,6.173
1.12599,0.723885,6.175
0.876734,0.69638,6.076
0.886802,0.691295,6.032
0.900072,0.688845,6.011
0.915968,0.688458,6.008
0.932001,0.688185,6.006
0.949442,0.688942,6.013
0.966757,0.689585,6.019
1.02622,0.707936,6.18
0.881538,0.683513,6.109
0.888903,0.676423,6.046
0.902061,0.673919,6.024
0.916774,0.672646,6.013
0.933442,0.672827,6.015
0.950749,0.673454,6.021
0.968729,0.674528,6.031
0.988884,0.677056,6.054
0.903451,0.658484,6.033
0.918799,0.657678,6.026
0.934882,0.657417,6.024
0.952056,0.65792,6.029
0.969897,0.658859,6.038
