7,33,35,373
x,y,z
1.59689,0.882602,6.123
0.337373,-0.223377,2.815
0.346275,-0.224158,2.825
0.460195,-0.223231,2.816
0.469348,-0.223929,2.825
0.346017,-0.231707,2.823
0.351834,-0.230463,2.808
0.358208,-0.229629,2.798
0.441544,-0.229223,2.795
0.451075,-0.230191,2.807
0.460997,-0.231323,2.821
0.470661,-0.232291,2.833
0.346494,-0.239754,2.827
0.352071,-0.238298,2.81
0.35845,-0.237436,2.8
0.364773,-0.236575,2.79
0.371708,-0.236136,2.785
0.378479,-0.235614,2.779
0.385354,-0.235175,2.774
0.392767,-0.235076,2.773
0.400607,-0.23523,2.775
0.408456,-0.235385,2.777
0.416165,-0.235454,2.778
0.423878,-0.235523,2.779
0.432371,-0.236016,2.785
0.441686,-0.236932,2.796
0.45138,-0.238018,2.809
0.461634,-0.239357,2.825
0.471143,-0.240272,2.836
0.352683,-0.246406,2.815
0.358692,-0.245254,2.802
0.365282,-0.24454,2.794
0.372361,-0.244175,2.79
0.379281,-0.243723,2.785
0.385895,-0.243095,2.778
0.393035,-0.242818,2.775
0.400736,-0.24289,2.776
0.408587,-0.243049,2.778
0.416149,-0.243033,2.778
0.423709,-0.243018,2.778
0.4322,-0.243526,2.784
0.441353,-0.244385,2.794
0.451524,-0.245767,2.81
0.461454,-0.246975,2.824
0.471126,-0.248007,2.836
0.498519,-0.242499,2.774
0.504594,-0.241782,2.766
0.354423,-0.255353,2.829
0.359958,-0.253804,2.812
0.366444,-0.252977,2.803
0.373147,-0.25233,2.796
0.380083,-0.251864,2.791
0.386713,-0.251217,2.784
0.39387,-0.250931,2.781
0.401153,-0.250734,2.779
0.408572,-0.250628,2.778
0.416133,-0.250612,2.778
0.424151,-0.250866,2.781
0.432804,-0.251481,2.788
0.442285,-0.252546,2.8
0.452471,-0.253972,2.816
0.461927,-0.254947,2.827
0.471607,-0.256012,2.839
0.495744,-0.252513,2.801
0.499579,-0.250602,2.78
0.504941,-0.249502,2.768
0.509495,-0.248042,2.752
0.514713,-0.246942,2.74
0.61646,-0.245775,2.73
0.35516,-0.263632,2.835
0.362247,-0.263152,2.83
0.368128,-0.261835,2.816
0.374199,-0.260703,2.804
0.380204,-0.259572,2.792
0.387114,-0.259091,2.787
0.39442,-0.258889,2.785
0.401859,-0.25878,2.784
0.409144,-0.258578,2.782
0.416566,-0.258468,2.781
0.425049,-0.259009,2.787
0.434184,-0.259921,2.797
0.444005,-0.261205,2.811
0.4539,-0.262488,2.825
0.462563,-0.263028,2.831
0.471423,-0.26366,2.838
0.501178,-0.259016,2.789
0.505834,-0.257511,2.773
0.510402,-0.256007,2.757
0.514882,-0.254502,2.741
0.520226,-0.253462,2.73
0.525896,-0.252607,2.721
0.606147,-0.252022,2.717
0.616667,-0.253301,2.731
0.363767,-0.272022,2.842
0.36942,-0.270475,2.826
0.375118,-0.269023,2.811
0.381005,-0.267763,2.798
0.387931,-0.267269,2.793
0.39497,-0.266869,2.789
0.40242,-0.266757,2.788
0.409568,-0.266453,2.785
0.417298,-0.266532,2.786
0.425794,-0.267088,2.792
0.435098,-0.268123,2.803
0.445409,-0.269731,2.82
0.455328,-0.271052,2.834
0.464342,-0.271799,2.842
0.471736,-0.271589,2.84
0.496415,-0.268166,2.805
0.501159,-0.266617,2.789
0.50618,-0.26526,2.775
0.510753,-0.263711,2.759
0.515614,-0.262354,2.745
0.52116,-0.261379,2.735
0.52665,-0.260404,2.725
0.532476,-0.25962,2.717
0.538655,-0.259027,2.711
0.545203,-0.258625,2.707
0.551728,-0.258223,2.703
0.55885,-0.258108,2.702
0.566384,-0.258184,2.703
0.574135,-0.258355,2.705
0.581036,-0.258144,2.703
0.588795,-0.258315,2.705
0.597225,-0.258772,2.71
0.60702,-0.259802,2.721
0.364392,-0.280268,2.847
0.370058,-0.278677,2.831
0.375902,-0.277282,2.817
0.381806,-0.275986,2.804
0.388609,-0.275379,2.798
0.395662,-0.274968,2.794
0.402836,-0.274656,2.791
0.410286,-0.27454,2.79
0.418029,-0.274621,2.791
0.426692,-0.275292,2.798
0.436012,-0.276356,2.809
0.446496,-0.278109,2.827
0.456434,-0.279467,2.841
0.465466,-0.280235,2.849
0.501499,-0.274415,2.791
0.506708,-0.273117,2.778
0.511474,-0.271623,2.763
0.516534,-0.270325,2.75
0.522093,-0.269322,2.74
0.52721,-0.268123,2.728
0.532848,-0.267218,2.719
0.538834,-0.26651,2.712
0.545586,-0.266195,2.709
0.55232,-0.26588,2.706
0.559657,-0.26586,2.706
0.566993,-0.26584,2.706
0.574964,-0.266114,2.709
0.581876,-0.265897,2.707
0.590081,-0.266269,2.711
0.597866,-0.266445,2.713
0.607222,-0.267308,2.722
0.357619,-0.28886,2.855
0.364119,-0.287832,2.845
0.370433,-0.286702,2.834
0.376686,-0.285573,2.823
0.383014,-0.284544,2.813
0.389286,-0.283516,2.803
0.396211,-0.282993,2.798
0.403396,-0.282672,2.795
0.411004,-0.282654,2.795
0.418611,-0.282636,2.795
0.427284,-0.283326,2.802
0.436925,-0.284622,2.815
0.447109,-0.28622,2.831
0.456897,-0.287516,2.844
0.465774,-0.288204,2.851
0.50112,-0.281818,2.789
0.507053,-0.280889,2.78
0.512565,-0.279757,2.769
0.517828,-0.278524,2.757
0.522835,-0.277191,2.744
0.527769,-0.275857,2.731
0.533416,-0.274928,2.722
0.539608,-0.274301,2.716
0.545968,-0.273776,2.711
0.552299,-0.27325,2.706
0.559636,-0.273229,2.706
0.566763,-0.273107,2.705
0.574519,-0.273288,2.707
0.58207,-0.273368,2.708
0.590278,-0.273751,2.712
0.598947,-0.274336,2.718
0.358229,-0.297167,2.86
0.364743,-0.296111,2.85
0.37107,-0.294951,2.839
0.377203,-0.293688,2.827
0.383405,-0.292527,2.816
0.389825,-0.291575,2.807
0.396618,-0.290934,2.801
0.404244,-0.290916,2.801
0.412162,-0.291106,2.803
0.41994,-0.291191,2.804
0.428485,-0.291795,2.81
0.437682,-0.292815,2.82
0.447563,-0.294249,2.834
0.456877,-0.295268,2.844
0.501998,-0.289936,2.794
0.507762,-0.288878,2.784
0.51347,-0.28782,2.774
0.518559,-0.28645,2.761
0.523767,-0.285184,2.749
0.528522,-0.283711,2.735
0.534375,-0.28286,2.727
0.540382,-0.282113,2.72
0.546753,-0.281573,2.715
0.553299,-0.281137,2.711
0.56065,-0.281116,2.711
0.567161,-0.28068,2.707
0.574922,-0.280866,2.709
0.582908,-0.281156,2.712
0.59178,-0.28186,2.719
0.600468,-0.28246,2.725
0.609856,-0.283371,2.734
0.358838,-0.3055,2.865
0.366005,-0.30495,2.86
0.371968,-0.30344,2.846
0.377719,-0.301823,2.831
0.383524,-0.300313,2.817
0.390084,-0.299442,2.809
0.397166,-0.298997,2.805
0.405091,-0.299192,2.807
0.413173,-0.299493,2.81
0.42097,-0.299581,2.811
0.429381,-0.300095,2.816
0.438594,-0.301141,2.826
0.44786,-0.302187,2.836
0.456857,-0.303019,2.844
0.503594,-0.298507,2.803
0.509564,-0.297527,2.794
0.515485,-0.296547,2.785
0.52004,-0.294822,2.769
0.525079,-0.293417,2.756
0.529853,-0.291905,2.742
0.535529,-0.290926,2.733
0.541155,-0.289946,2.724
0.546933,-0.289073,2.716
0.553278,-0.288519,2.711
0.560421,-0.288391,2.71
0.567349,-0.288156,2.708
0.575325,-0.288454,2.711
0.583961,-0.28907,2.717
0.593064,-0.289899,2.725
0.602649,-0.290941,2.735
0.612065,-0.291876,2.744
0.366756,-0.313405,2.866
0.372342,-0.311528,2.849
0.377968,-0.309761,2.833
0.384187,-0.30854,2.822
0.391177,-0.307975,2.817
0.398281,-0.307519,2.813
0.405938,-0.3075,2.813
0.414036,-0.307809,2.816
0.422148,-0.308117,2.819
0.430276,-0.308426,2.822
0.439039,-0.309171,2.829
0.448313,-0.310243,2.839
0.456998,-0.310879,2.845
0.512643,-0.306994,2.811
0.51824,-0.305771,2.8
0.521897,-0.303456,2.779
0.526391,-0.301687,2.763
0.530604,-0.299809,2.746
0.535704,-0.298477,2.734
0.541531,-0.297581,2.726
0.547716,-0.296904,2.72
0.554684,-0.296664,2.718
0.56164,-0.296424,2.716
0.568793,-0.296292,2.715
0.576788,-0.296597,2.718
0.585443,-0.297229,2.724
0.594565,-0.29808,2.732
0.603949,-0.299039,2.741
0.367761,-0.322115,2.874
0.37337,-0.320192,2.857
0.378884,-0.318268,2.84
0.385257,-0.317129,2.83
0.392408,-0.316662,2.826
0.399678,-0.316307,2.823
0.407218,-0.316176,2.822
0.415193,-0.31638,2.824
0.423327,-0.316696,2.827
0.431476,-0.317012,2.83
0.439795,-0.31744,2.834
0.449082,-0.318539,2.844
0.45794,-0.319303,2.851
0.512174,-0.31915,2.851
0.516633,-0.317113,2.833
0.521549,-0.315411,2.818
0.524692,-0.312703,2.794
0.528465,-0.310442,2.774
0.532321,-0.308293,2.755
0.536857,-0.306592,2.74
0.542502,-0.305563,2.731
0.548298,-0.304645,2.723
0.55507,-0.304287,2.72
0.562238,-0.304152,2.719
0.569609,-0.30413,2.719
0.577615,-0.304442,2.722
0.58628,-0.30509,2.728
0.596065,-0.306297,2.739
0.605688,-0.307392,2.749
0.367871,-0.330065,2.875
0.373351,-0.32798,2.857
0.379532,-0.326583,2.845
0.386464,-0.325876,2.839
0.393639,-0.325397,2.835
0.400649,-0.324804,2.83
0.408353,-0.324784,2.83
0.416349,-0.324994,2.832
0.424804,-0.325547,2.837
0.432218,-0.325297,2.835
0.440395,-0.325621,2.838
0.449377,-0.326518,2.846
0.459204,-0.327988,2.859
0.518977,-0.331272,2.889
0.520805,-0.327465,2.856
0.524857,-0.325149,2.836
0.528612,-0.322718,2.815
0.531871,-0.320058,2.792
0.535197,-0.317513,2.77
0.539185,-0.315427,2.752
0.544267,-0.314029,2.74
0.549483,-0.312745,2.729
0.556271,-0.312378,2.726
0.563249,-0.312126,2.724
0.571261,-0.312446,2.727
0.579289,-0.312767,2.73
0.587976,-0.313431,2.736
0.598218,-0.314896,2.749
0.608088,-0.316132,2.76
0.367469,-0.337548,2.872
0.373594,-0.336002,2.859
0.380047,-0.334807,2.849
0.386853,-0.333965,2.842
0.394175,-0.333593,2.839
0.401054,-0.332868,2.833
0.409054,-0.333083,2.835
0.417211,-0.333415,2.838
0.425532,-0.333865,2.842
0.433264,-0.333844,2.842
0.441305,-0.334057,2.844
0.450619,-0.33521,2.854
0.460467,-0.336715,2.867
