7,33,32,623
x,y,z
1.81998,1.5189,7.977
1.83234,1.51119,7.937
1.84635,1.505,7.905
1.81985,1.49708,7.976
1.83336,1.49042,7.941
1.84458,1.48207,7.897
1.82108,1.47637,7.981
1.83553,1.47055,7.95
1.84654,1.46213,7.905
1.82209,1.45546,7.985
1.83562,1.44899,7.95
1.85107,1.44416,7.924
1.82423,1.43541,7.994
1.83571,1.42742,7.95
1.84765,1.41997,7.909
1.84065,1.40957,7.971
1.84728,1.39816,7.907
1.85484,1.38228,7.939
1.84591,1.37008,7.993
1.86077,1.36502,7.964
0.891849,0.522271,5.04
0.907874,0.523581,5.053
0.921597,0.523544,5.053
0.933651,0.522574,5.044
0.945842,0.521707,5.036
0.957987,0.52084,5.028
0.971632,0.520802,5.028
0.986058,0.521178,5.032
1.00468,0.523728,5.057
0.910426,0.511226,5.067
0.923276,0.510685,5.062
0.934614,0.509336,5.049
0.947382,0.508795,5.044
0.958787,0.507547,5.032
0.973796,0.508216,5.039
0.989428,0.509186,5.049
1.00829,0.51177,5.075
0.900415,0.499516,5.088
0.914955,0.499873,5.092
0.926048,0.498364,5.077
0.936132,0.496365,5.057
0.94817,0.495445,5.048
0.960729,0.49482,5.042
0.977311,0.496255,5.057
0.993777,0.497592,5.071
1.01032,0.498928,5.085
0.729898,0.465444,4.873
0.741787,0.464554,4.864
0.753313,0.463473,4.853
0.765725,0.462965,4.848
0.77859,0.462743,4.846
0.791604,0.462616,4.845
0.805608,0.463062,4.85
0.82048,0.463984,4.86
0.837292,0.465956,4.881
0.903813,0.487462,5.107
0.917147,0.48714,5.104
0.92882,0.48596,5.092
0.938944,0.484016,5.072
0.951587,0.483408,5.066
0.965339,0.483372,5.066
0.981793,0.484672,5.08
0.998713,0.486162,5.096
0.733074,0.454102,4.894
0.742427,0.45166,4.868
0.753964,0.45061,4.857
0.766388,0.450116,4.852
0.779103,0.449807,4.849
0.791636,0.449405,4.845
0.805473,0.449745,4.849
0.821019,0.451012,4.863
0.838353,0.453206,4.887
0.85843,0.456791,4.926
0.901547,0.472336,5.094
0.919158,0.474249,5.115
0.931409,0.47338,5.106
0.942312,0.471862,5.09
0.954252,0.4709,5.08
0.968232,0.470958,5.081
0.984728,0.47222,5.095
1.00149,0.473575,5.11
0.734301,0.441473,4.902
0.742761,0.438562,4.87
0.753373,0.437002,4.853
0.766102,0.436703,4.85
0.779454,0.436763,4.851
0.792156,0.436464,4.848
0.805504,0.436523,4.849
0.821219,0.437843,4.864
