7,36,15,109
x,y,z
1.53577,0.55383,5.095
1.55134,0.554443,5.101
1.5648,0.554297,5.1
1.57825,0.554151,5.099
1.53701,0.540411,5.099
1.55199,0.540798,5.103
1.56576,0.540761,5.103
1.57953,0.540724,5.103
1.53796,0.526867,5.102
1.55385,0.527553,5.109
1.56549,0.526794,5.102
1.57894,0.526655,5.101
1.5389,0.513306,5.105
1.55389,0.513672,5.109
1.56644,0.513234,5.105
1.57929,0.512897,5.102
1.53833,0.499238,5.103
1.55484,0.500083,5.112
1.56832,0.49995,5.111
1.58149,0.49972,5.109
1.53927,0.485656,5.106
1.55578,0.486477,5.115
1.57081,0.486824,5.119
1.58369,0.486504,5.116
1.54141,0.472426,5.113
1.55947,0.473686,5.127
1.57361,0.473745,5.128
1.58682,0.473527,5.126
1.54386,0.459247,5.121
1.5598,0.459842,5.128
1.57364,0.459809,5.128
1.58716,0.459687,5.127
1.54449,0.445502,5.123
1.56105,0.446253,5.132
1.5749,0.446221,5.132
1.54543,0.43183,5.126
1.56169,0.432472,5.134
1.57616,0.43261,5.136
1.54908,0.418874,5.138
1.56598,0.419658,5.148
1.57926,0.419465,5.146
1.55062,0.4053,5.143
1.56693,0.405901,5.151
1.58021,0.405714,5.149
1.55246,0.391775,5.149
1.56817,0.392202,5.155
1.58116,0.391946,5.152
1.5549,0.378363,5.157
1.56881,0.378335,5.157
1.58241,0.378234,5.156
0.457941,-0.375108,2.372
0.464178,-0.374925,2.371
0.469417,-0.373951,2.365
0.452243,-0.38222,2.376
0.458302,-0.381873,2.374
0.464153,-0.381366,2.371
0.469392,-0.380375,2.365
0.474799,-0.379546,2.36
0.479158,-0.377913,2.35
0.45336,-0.389655,2.382
0.458277,-0.388321,2.374
0.463933,-0.387642,2.37
0.46897,-0.386472,2.363
0.474573,-0.385792,2.359
0.479133,-0.384295,2.35
0.484263,-0.383288,2.344
0.488313,-0.381464,2.333
0.297549,-0.387661,2.328
0.417609,-0.387076,2.327
0.452763,-0.395625,2.379
0.459603,-0.395932,2.381
0.464886,-0.394909,2.375
0.46954,-0.393387,2.366
0.474748,-0.392364,2.36
0.479515,-0.391008,2.352
0.484651,-0.389985,2.346
0.488497,-0.387965,2.334
0.493337,-0.386776,2.327
0.498139,-0.385587,2.32
0.554192,-0.385024,2.318
0.560463,-0.384998,2.318
0.567223,-0.385304,2.32
0.292443,-0.395699,2.338
0.29753,-0.393987,2.328
0.303344,-0.393291,2.324
0.308603,-0.391917,2.316
0.410207,-0.392405,2.321
0.41902,-0.394748,2.335
0.450835,-0.400395,2.369
0.461121,-0.40375,2.389
0.465839,-0.402203,2.38
0.47011,-0.400318,2.369
0.474521,-0.398603,2.359
0.479285,-0.397225,2.351
0.484625,-0.396354,2.346
0.489099,-0.394808,2.337
0.493736,-0.393431,2.329
0.498543,-0.392223,2.322
0.503963,-0.391521,2.318
0.510021,-0.391326,2.317
0.516073,-0.391132,2.316
0.521668,-0.390599,2.313
0.527474,-0.390236,2.311
0.533729,-0.39021,2.311
0.541153,-0.391028,2.316
0.54813,-0.391509,2.319
0.555122,-0.39199,2.322
0.561163,-0.391795,2.321
0.292799,-0.402568,2.341
0.297893,-0.400828,2.331
0.303585,-0.399949,2.326
0.308716,-0.398381,2.317
0.314068,-0.397157,2.31
0.319382,-0.395933,2.303
0.394667,-0.395836,2.304
0.402664,-0.39753,2.314
0.41142,-0.39991,2.328
0.420252,-0.402291,2.342
0.446813,-0.403221,2.348
0.461867,-0.410923,2.393
0.466792,-0.409523,2.385
0.470679,-0.407265,2.372
0.475099,-0.405522,2.362
0.480075,-0.404294,2.355
0.484805,-0.402895,2.347
0.489701,-0.401667,2.34
