7,36,14,901
x,y,z
1.9824,1.23313,7.09
0.342658,-0.293855,2.622
0.347799,-0.292157,2.607
0.4547,-0.292213,2.61
0.462674,-0.292752,2.615
0.343164,-0.301461,2.626
0.348449,-0.299837,2.612
0.353521,-0.298098,2.597
0.429748,-0.296859,2.588
0.438133,-0.297756,2.596
0.447759,-0.299457,2.611
0.456944,-0.300812,2.623
0.464954,-0.301365,2.628
0.348699,-0.307191,2.614
0.354592,-0.306115,2.605
0.360158,-0.304805,2.594
0.365946,-0.303729,2.585
0.372117,-0.303006,2.579
0.378547,-0.302517,2.575
0.385854,-0.302734,2.577
0.392255,-0.302245,2.573
0.406252,-0.302206,2.573
0.414372,-0.303009,2.58
0.42253,-0.303811,2.587
0.431389,-0.305082,2.598
0.439969,-0.306119,2.607
0.449625,-0.307859,2.622
0.458491,-0.309012,2.632
0.466879,-0.309813,2.639
0.350148,-0.315637,2.625
0.355935,-0.314416,2.615
0.361667,-0.313195,2.605
0.367768,-0.312335,2.598
0.373829,-0.311475,2.591
0.380145,-0.310855,2.586
0.386883,-0.310595,2.584
0.393455,-0.310215,2.581
0.400165,-0.309955,2.579
0.407969,-0.310537,2.584
0.415798,-0.311117,2.589
0.424143,-0.312058,2.597
0.432697,-0.313119,2.606
0.441804,-0.31454,2.618
0.450976,-0.31596,2.63
0.458992,-0.316539,2.635
0.466149,-0.316518,2.635
0.352798,-0.325248,2.645
0.358095,-0.323508,2.631
0.363314,-0.321768,2.617
0.369164,-0.320642,2.608
0.375109,-0.31964,2.6
0.381743,-0.319252,2.597
0.388809,-0.319232,2.597
0.395417,-0.318843,2.594
0.401542,-0.318086,2.588
0.408896,-0.318311,2.59
0.41642,-0.31866,2.593
0.424939,-0.319745,2.602
0.433838,-0.321075,2.613
0.442795,-0.322406,2.624
0.452154,-0.323981,2.637
0.459667,-0.324205,2.639
0.465774,-0.323446,2.633
0.355713,-0.335219,2.667
0.360389,-0.332812,2.648
0.365933,-0.331284,2.636
0.370561,-0.329003,2.618
0.376243,-0.327727,2.608
0.382311,-0.326827,2.601
0.389538,-0.326933,2.602
0.396159,-0.326536,2.599
0.402297,-0.325762,2.593
0.409349,-0.325741,2.593
0.417523,-0.326599,2.6
0.426061,-0.327709,2.609
0.435477,-0.329446,2.623
0.444461,-0.330805,2.634
0.453333,-0.332039,2.644
0.461212,-0.332519,2.648
0.358628,-0.345309,2.689
0.362684,-0.342207,2.665
0.367996,-0.34039,2.651
0.37224,-0.337674,2.63
0.377522,-0.335985,2.617
0.383614,-0.335066,2.61
0.391015,-0.335302,2.612
0.397663,-0.334897,2.609
0.403518,-0.333849,2.601
0.410117,-0.333443,2.598
0.418305,-0.33432,2.605
0.427019,-0.335582,2.615
0.436783,-0.337613,2.631
0.44562,-0.338874,2.641
0.455196,-0.340648,2.655
0.461538,-0.339983,2.65
0.36525,-0.351956,2.684
0.370474,-0.349969,2.669
0.374059,-0.34654,2.643
0.379377,-0.344815,2.63
0.38521,-0.343615,2.621
0.392042,-0.343332,2.619
0.398709,-0.342917,2.616
0.405358,-0.342503,2.613
0.412464,-0.342481,2.613
0.420371,-0.343115,2.618
0.428957,-0.344272,2.627
0.438587,-0.346216,2.642
0.448128,-0.348028,2.656
0.456545,-0.348922,2.663
0.448791,-0.327368,2.499
0.367134,-0.361139,2.698
0.371981,-0.358709,2.68
0.375171,-0.354807,2.651
0.380943,-0.353448,2.641
0.386953,-0.352356,2.633
0.393368,-0.351666,2.628
0.399602,-0.350841,2.622
0.406578,-0.350686,2.621
0.414178,-0.351065,2.624
0.421954,-0.351578,2.628
0.430241,-0.352492,2.635
0.440224,-0.354744,2.652
