7,32,24,11
x,y,z
0.542078,-0.127602,3.109
0.547871,-0.126977,3.094
0.630848,-0.126673,3.089
0.531214,-0.135488,3.095
0.543114,-0.136353,3.115
0.549278,-0.135774,3.102
0.555549,-0.135239,3.09
0.563396,-0.135097,3.087
0.570485,-0.13478,3.08
0.577533,-0.134464,3.073
0.585114,-0.134278,3.069
0.594412,-0.134486,3.074
0.604128,-0.134782,3.081
0.613482,-0.13499,3.086
0.623466,-0.135329,3.094
0.634718,-0.13593,3.108
0.530517,-0.143752,3.091
0.543627,-0.144997,3.118
0.550684,-0.144614,3.11
0.556617,-0.143953,3.096
0.563933,-0.143663,3.09
0.57103,-0.143326,3.083
0.578838,-0.143176,3.08
0.586819,-0.143072,3.078
0.595948,-0.143246,3.082
0.605881,-0.143607,3.09
0.61526,-0.143828,3.095
0.625067,-0.144141,3.102
0.63634,-0.14478,3.116
0.54379,-0.153559,3.119
0.551735,-0.153399,3.116
0.557865,-0.152748,3.103
0.564834,-0.152343,3.095
0.572315,-0.152085,3.09
0.581082,-0.152171,3.092
0.589477,-0.15216,3.092
0.59787,-0.152148,3.092
0.606654,-0.152234,3.094
0.616838,-0.152665,3.103
0.62707,-0.153095,3.112
0.637349,-0.153526,3.121
0.545173,-0.162489,3.127
0.552963,-0.162269,3.123
0.559471,-0.161685,3.112
0.566465,-0.161257,3.104
0.574155,-0.161037,3.1
0.582761,-0.161076,3.101
0.59099,-0.161012,3.1
0.599598,-0.161051,3.101
0.608798,-0.161246,3.105
0.61941,-0.161805,3.116
0.630483,-0.162467,3.129
0.632231,-0.160741,3.096
0.547776,-0.171844,3.142
0.555075,-0.171449,3.135
0.561795,-0.170889,3.125
0.568642,-0.170384,3.116
0.575994,-0.170043,3.11
0.583876,-0.169866,3.107
0.592692,-0.169962,3.109
0.601905,-0.170167,3.113
0.611334,-0.170427,3.118
0.621981,-0.171015,3.129
0.633492,-0.171821,3.144
0.635485,-0.170059,3.112
0.50315,-0.171086,2.979
0.549855,-0.181109,3.154
0.557009,-0.180637,3.146
0.5634,-0.179934,3.134
0.570089,-0.179346,3.124
0.577462,-0.178988,3.118
0.585553,-0.17886,3.116
0.594395,-0.178961,3.118
0.603825,-0.179234,3.123
0.613869,-0.179679,3.131
0.62475,-0.180353,3.143
