7,32,26,482
x,y,z
0.350421,-0.682476,1.451
0.345298,-0.684086,1.446
0.34997,-0.685538,1.449
0.352706,-0.683206,1.444
0.349521,-0.688592,1.447
0.352984,-0.687675,1.445
0.344649,-0.690646,1.443
0.350039,-0.693553,1.449
0.353265,-0.692153,1.446
0.354993,-0.687882,1.437
0.348744,-0.702824,1.46
0.351767,-0.700935,1.456
0.354035,-0.697603,1.449
0.355524,-0.692827,1.439
0.35746,-0.689014,1.431
0.34687,-0.702996,1.452
0.351079,-0.703518,1.453
0.353829,-0.701135,1.448
0.356305,-0.69827,1.442
0.358499,-0.69492,1.435
0.360656,-0.691571,1.428
0.335619,-0.69189,1.421
0.345236,-0.703613,1.445
0.350877,-0.707061,1.452
0.354357,-0.706127,1.45
0.357087,-0.703733,1.445
0.35879,-0.699391,1.436
0.360446,-0.69505,1.427
0.362053,-0.690709,1.418
0.346708,-0.710562,1.451
0.3514,-0.712071,1.454
0.353909,-0.709174,1.448
0.356387,-0.706277,1.442
0.358583,-0.702891,1.435
0.360741,-0.699506,1.428
0.361841,-0.694162,1.417
0.340656,-0.710119,1.442
0.349138,-0.719516,1.461
0.353133,-0.719558,1.461
0.354441,-0.714183,1.45
0.356677,-0.710779,1.443
0.358877,-0.707375,1.436
0.361291,-0.704464,1.43
0.362397,-0.69909,1.419
0.363444,-0.693717,1.408
0.198325,-0.696359,1.408
0.327965,-0.703648,1.421
0.337861,-0.708184,1.43
0.350375,-0.726054,1.466
0.352935,-0.723126,1.46
0.353995,-0.717226,1.448
0.356227,-0.713803,1.441
0.358922,-0.711372,1.436
0.361843,-0.709436,1.432
0.363466,-0.705025,1.423
0.364524,-0.699623,1.412
0.366828,-0.696698,1.406
0.198341,-0.700241,1.408
0.319787,-0.698098,1.402
0.32962,-0.711083,1.428
0.343809,-0.724612,1.455
0.351375,-0.732125,1.47
0.354671,-0.730676,1.467
0.355507,-0.724246,1.454
0.357509,-0.720307,1.446
0.359468,-0.716369,1.438
0.362143,-0.713926,1.433
0.36377,-0.70949,1.424
0.365348,-0.705056,1.415
0.367139,-0.70112,1.407
0.368887,-0.697184,1.399
0.194251,-0.70311,1.406
0.198781,-0.705627,1.411
0.200897,-0.699644,1.399
0.314641,-0.698954,1.396
0.320054,-0.702498,1.403
0.328045,-0.711551,1.421
0.344089,-0.729163,1.456
0.353571,-0.740727,1.479
0.356893,-0.739271,1.476
0.357754,-0.732806,1.463
0.358545,-0.726342,1.45
0.359516,-0.720379,1.438
0.361687,-0.716922,1.431
0.363819,-0.713464,1.424
0.366173,-0.710509,1.418
0.367973,-0.706552,1.41
0.369467,-0.702095,1.401
0.372511,-0.700645,1.398
0.37581,-0.699697,1.396
0.379098,-0.69875,1.394
0.199644,-0.712542,1.417
0.201633,-0.706023,1.404
0.203991,-0.701013,1.394
0.315582,-0.704853,1.4
0.321007,-0.708418,1.407
0.337516,-0.71912,1.428
0.355052,-0.747871,1.485
0.358391,-0.746408,1.482
0.359759,-0.740917,1.471
0.360573,-0.734418,1.458
0.361316,-0.727919,1.445
0.362495,-0.722429,1.434
0.363871,-0.717442,1.424
0.365967,-0.713968,1.417
0.367765,-0.70999,1.409
0.369785,-0.706516,1.402
0.372833,-0.70506,1.399
0.375866,-0.703604,1.396
0.379155,-0.702653,1.394
0.381336,-0.699687,1.388
0.198957,-0.713931,1.412
0.201795,-0.71041,1.405
0.204449,-0.706385,1.397
0.207059,-0.702359,1.389
0.310904,-0.706688,1.396
0.317426,-0.712803,1.408
0.32333,-0.717402,1.417
0.332286,-0.728583,1.439
0.331317,-0.717995,1.418
0.344889,-0.738801,1.459
0.354622,-0.751002,1.483
0.358199,-0.750038,1.481
0.360542,-0.746543,1.474
0.362107,-0.741529,1.464
0.362118,-0.733477,1.448
0.3628,-0.726944,1.435
0.363668,-0.720917,1.423
0.366021,-0.717931,1.417
0.368081,-0.714439,1.41
0.36984,-0.710441,1.402
0.372889,-0.708977,1.399
0.375384,-0.706501,1.394
0.378398,-0.705039,1.391
0.380297,-0.701551,1.384
0.449339,-0.703368,1.385
0.198554,-0.716312,1.409
0.202246,-0.715824,1.408
0.205054,-0.712285,1.401
0.207527,-0.70773,1.392
0.305367,-0.706467,1.388
0.31139,-0.711597,1.398
0.317919,-0.717748,1.41
0.325427,-0.725936,1.426
0.355867,-0.75769,1.488
0.358733,-0.755195,1.483
0.361083,-0.751682,1.476
0.363149,-0.74766,1.468
0.363671,-0.740583,1.454
0.364117,-0.733506,1.44
0.364488,-0.726429,1.426
0.366592,-0.722918,1.419
0.369181,-0.720427,1.414
0.37148,-0.717427,1.408
0.373747,-0.714428,1.402
0.375713,-0.71092,1.395
0.378458,-0.708942,1.391
0.380907,-0.706454,1.386
0.384441,-0.706007,1.385
0.386849,-0.703522,1.38
0.443338,-0.703625,1.378
0.452023,-0.711372,1.393
0.197728,-0.717147,1.403
0.201979,-0.718701,1.406
0.205368,-0.717188,1.403
0.208145,-0.713632,1.396
0.210732,-0.709564,1.388
0.213276,-0.705497,1.38
0.301178,-0.709274,1.386
0.306508,-0.712897,1.393
0.311877,-0.716522,1.4
0.317962,-0.721683,1.41
0.3257,-0.730429,1.427
0.352315,-0.762823,1.49
0.357592,-0.765435,1.495
0.359994,-0.761903,1.488
0.362359,-0.758372,1.481
0.364192,-0.753817,1.472
0.365226,-0.747727,1.46
0.36569,-0.740612,1.446
0.366334,-0.73401,1.433
0.368457,-0.730481,1.426
0.370544,-0.726953,1.419
0.37233,-0.722914,1.411
0.374606,-0.719899,1.405
0.376581,-0.716373,1.398
0.379336,-0.714385,1.394
0.38152,-0.711374,1.388
0.384227,-0.709388,1.384
0.386634,-0.70689,1.379
0.389864,-0.705931,1.377
0.407652,-0.704232,1.373
0.427546,-0.70616,1.376
0.431352,-0.706242,1.376
0.436109,-0.707866,1.379
0.44216,-0.711546,1.386
0.449539,-0.717282,1.397
0.198876,-0.725147,1.411
0.202574,-0.724654,1.41
0.205536,-0.721592,1.404
0.208018,-0.716989,1.395
0.210603,-0.7129,1.387
0.213608,-0.710353,1.382
0.295712,-0.708986,1.378
0.301871,-0.714687,1.389
0.30809,-0.720389,1.4
0.313034,-0.723005,1.405
0.318457,-0.726652,1.412
0.357884,-0.770133,1.496
0.359806,-0.765554,1.487
0.362169,-0.762005,1.48
0.364495,-0.758456,1.473
0.366783,-0.754908,1.466
0.368023,-0.749301,1.455
0.368436,-0.742149,1.441
0.369808,-0.737058,1.431
0.371648,-0.732997,1.423
0.37371,-0.729451,1.416
0.376534,-0.727453,1.412
0.378529,-0.723909,1.405
0.38076,-0.720881,1.399
0.382134,-0.716308,1.39
0.38457,-0.713797,1.385
0.387261,-0.711802,1.381
0.390498,-0.71084,1.379
0.393153,-0.708847,1.375
0.396943,-0.708918,1.375
0.401025,-0.709506,1.376
0.405703,-0.711126,1.379
0.408915,-0.71017,1.377
0.412117,-0.709215,1.375
0.415007,-0.707746,1.372
0.420324,-0.710405,1.377
0.425671,-0.713066,1.382
0.431358,-0.716245,1.388
0.434572,-0.715298,1.386
0.439042,-0.716417,1.388
0.44512,-0.720119,1.395
0.453814,-0.727954,1.41
0.200025,-0.733195,1.419
0.204177,-0.734251,1.421
0.206876,-0.73014,1.413
0.208935,-0.723962,1.401
0.211082,-0.718301,1.39
0.21456,-0.717292,1.388
0.216926,-0.712666,1.379
0.290502,-0.709174,1.371
0.297256,-0.716456,1.385
0.303652,-0.722706,1.397
0.309675,-0.727924,1.407
0.314639,-0.730555,1.412
0.320308,-0.734741,1.42
0.35722,-0.772772,1.493
0.359861,-0.769722,1.487
0.361491,-0.764601,1.477
0.363562,-0.760517,1.469
0.366591,-0.758504,1.465
0.369093,-0.755456,1.459
0.370541,-0.750338,1.449
0.370902,-0.743149,1.435
0.372232,-0.738031,1.425
0.373244,-0.732396,1.414
0.375797,-0.729869,1.409
0.378593,-0.727862,1.405
0.381642,-0.726373,1.402
0.38385,-0.723331,1.396
0.385471,-0.719253,1.388
0.387891,-0.716731,1.383
0.391417,-0.716283,1.382
0.394368,-0.714799,1.379
0.397881,-0.714353,1.378
0.401099,-0.71339,1.376
0.405485,-0.714503,1.378
0.407804,-0.711987,1.373
0.411895,-0.712584,1.374
0.416902,-0.714738,1.378
0.423459,-0.719488,1.387
0.429143,-0.722685,1.393
0.433309,-0.723289,1.394
0.435913,-0.721301,1.39
0.441029,-0.723466,1.394
0.448402,-0.729266,1.405
0.192864,-0.724646,1.395
0.203713,-0.750642,1.445
0.207218,-0.749107,1.442
0.208657,-0.740299,1.425
0.210003,-0.731491,1.408
0.212625,-0.72736,1.4
0.215512,-0.724268,1.394
0.217738,-0.719098,1.384
0.21943,-0.712369,1.371
0.286585,-0.712445,1.37
0.292238,-0.717166,1.379
0.299015,-0.72449,1.393
0.305,-0.729735,1.403
0.31104,-0.734981,1.413
0.31669,-0.739189,1.421
0.358223,-0.77025,1.48
0.360324,-0.766144,1.472
0.363125,-0.7636,1.467
0.3669,-0.763139,1.466
0.36966,-0.760597,1.461
0.37137,-0.755973,1.452
0.371222,-0.747705,1.436
0.372817,-0.743081,1.427
0.374363,-0.738459,1.418
0.376128,-0.734357,1.41
0.37812,-0.730777,1.403
0.381164,-0.729282,1.4
0.384193,-0.727787,1.397
0.387206,-0.726294,1.394
0.389924,-0.72428,1.39
0.393188,-0.72331,1.388
0.395299,-0.720257,1.382
0.399111,-0.720331,1.382
0.402632,-0.719886,1.381
0.407033,-0.721006,1.383
0.408476,-0.716914,1.375
0.412875,-0.718037,1.377
0.417891,-0.720205,1.381
0.425986,-0.727591,1.395
0.430462,-0.72872,1.397
0.434329,-0.728808,1.397
0.437884,-0.728376,1.396
0.443651,-0.731598,1.402
0.196067,-0.740534,1.418
0.205992,-0.763014,1.461
0.208679,-0.758338,1.452
0.209852,-0.74844,1.433
0.211371,-0.740108,1.417
0.21341,-0.733866,1.405
0.216311,-0.730758,1.399
0.218237,-0.724516,1.387
0.220257,-0.718797,1.376
0.222055,-0.712556,1.364
0.281641,-0.713099,1.364
0.287044,-0.717323,1.372
0.293128,-0.723116,1.383
0.300132,-0.731004,1.398
0.306567,-0.737324,1.41
0.312848,-0.743123,1.421
0.318521,-0.747354,1.429
0.359975,-0.77807,1.487
0.362096,-0.773943,1.479
0.363927,-0.769294,1.47
0.366711,-0.766738,1.465
0.369469,-0.764183,1.46
0.371433,-0.760059,1.452
0.370769,-0.7507,1.434
0.37262,-0.746577,1.426
0.374164,-0.74193,1.417
0.376194,-0.738332,1.41
0.377918,-0.73421,1.402
0.381505,-0.733755,1.401
0.384813,-0.732777,1.399
0.388389,-0.732325,1.398
0.391119,-0.730302,1.394
0.394679,-0.729852,1.393
0.39709,-0.727308,1.388
0.400631,-0.72686,1.387
0.404168,-0.726414,1.386
0.407701,-0.72597,1.385
0.409745,-0.722905,1.379
0.414456,-0.72456,1.382
0.419791,-0.727266,1.387
0.425461,-0.730499,1.393
0.43055,-0.732684,1.397
0.435041,-0.733823,1.399
0.441113,-0.737587,1.406
0.447543,-0.741879,1.414
0.200238,-0.760229,1.448
0.206863,-0.770229,1.467
0.209279,-0.764479,1.456
0.210903,-0.756104,1.44
0.212292,-0.747204,1.423
0.214347,-0.740929,1.411
0.216338,-0.734655,1.399
0.218736,-0.729956,1.39
0.221085,-0.725258,1.381
0.223223,-0.720034,1.371
0.225142,-0.714286,1.36
0.276729,-0.713723,1.358
0.282508,-0.71902,1.368
0.288342,-0.724319,1.378
0.293384,-0.727516,1.384
0.299104,-0.732292,1.393
0.305961,-0.739699,1.407
0.312896,-0.747107,1.421
0.320354,-0.755569,1.437
0.362698,-0.788038,1.498
0.36485,-0.783891,1.49
0.365722,-0.777113,1.477
0.367525,-0.772441,1.468
0.369026,-0.767242,1.458
0.37073,-0.762571,1.449
0.370316,-0.753689,1.432
0.371902,-0.749018,1.423
0.375024,-0.747507,1.42
0.377863,-0.745469,1.416
0.379335,-0.7408,1.407
0.382664,-0.739818,1.405
0.385159,-0.737257,1.4
0.388184,-0.73575,1.397
0.390632,-0.733191,1.392
0.395038,-0.73432,1.394
0.397739,-0.73229,1.39
0.402732,-0.734476,1.394
0.406289,-0.73403,1.393
0.410432,-0.734639,1.394
0.412799,-0.732087,1.389
0.41664,-0.732171,1.389
0.421088,-0.733312,1.391
0.425855,-0.734982,1.394
0.431565,-0.738236,1.4
0.437621,-0.74202,1.407
0.444031,-0.746334,1.415
0.206747,-0.773787,1.466
0.209305,-0.768535,1.456
0.211369,-0.7617,1.443
0.212766,-0.752753,1.426
0.214223,-0.744334,1.41
0.21652,-0.739083,1.4
0.219709,-0.737,1.396
0.221915,-0.73175,1.386
0.223578,-0.724916,1.373
0.22484,-0.717026,1.358
0.261727,-0.716839,1.357
0.265631,-0.717406,1.358
0.269542,-0.717974,1.359
0.272654,-0.716429,1.356
0.278197,-0.721226,1.365
0.284616,-0.728137,1.378
0.290479,-0.733466,1.388
0.294913,-0.735097,1.391
0.300009,-0.738314,1.397
0.306009,-0.743647,1.407
0.312945,-0.751096,1.421
0.364939,-0.797015,1.507
0.368342,-0.795492,1.504
0.367766,-0.785506,1.485
0.367839,-0.777107,1.469
0.368838,-0.770824,1.457
0.37054,-0.766129,1.448
0.371676,-0.760376,1.437
0.373799,-0.75674,1.43
0.376677,-0.754692,1.426
0.379535,-0.752645,1.422
0.380754,-0.747424,1.412
0.383281,-0.74485,1.407
0.385783,-0.742276,1.402
0.388258,-0.739704,1.397
0.390988,-0.737662,1.393
0.394548,-0.73721,1.392
0.398104,-0.736759,1.391
0.402812,-0.738429,1.394
0.406663,-0.738511,1.394
0.410516,-0.738595,1.394
0.41437,-0.73868,1.394
0.419127,-0.740357,1.397
0.425113,-0.744156,1.404
0.429612,-0.745307,1.406
0.435973,-0.749641,1.414
0.440826,-0.751327,1.417
0.448208,-0.757258,1.428
0.201837,-0.759303,1.431
0.208325,-0.768881,1.449
0.210664,-0.763071,1.438
0.212197,-0.754608,1.422
0.214403,-0.748799,1.411
0.216549,-0.74299,1.4
0.219738,-0.740897,1.396
0.221624,-0.734558,1.384
0.223771,-0.729281,1.374
0.224705,-0.720289,1.357
0.227904,-0.718728,1.354
0.234774,-0.7172,1.351
0.241614,-0.715676,1.348
0.245478,-0.716242,1.349
0.249533,-0.71734,1.351
0.253599,-0.718439,1.353
0.257486,-0.719008,1.354
0.262151,-0.721702,1.359
0.266454,-0.723335,1.362
0.270178,-0.723376,1.362
0.273701,-0.722887,1.361
0.279259,-0.72771,1.37
0.285899,-0.735191,1.384
0.291989,-0.74108,1.395
0.29708,-0.744314,1.401
0.302634,-0.748613,1.409
0.307146,-0.750256,1.412
0.312996,-0.755089,1.421
0.366456,-0.804452,1.513
0.369141,-0.801327,1.507
0.368575,-0.79129,1.488
0.368907,-0.783379,1.473
0.369411,-0.776001,1.459
0.370863,-0.77075,1.449
0.37278,-0.766563,1.441
0.37596,-0.765037,1.438
0.378069,-0.761385,1.431
0.380675,-0.758796,1.426
0.381906,-0.753549,1.416
0.38499,-0.752026,1.413
0.387509,-0.749441,1.408
0.390003,-0.746857,1.403
0.39247,-0.744273,1.398
0.394911,-0.74169,1.393
0.398185,-0.740706,1.391
0.402894,-0.742386,1.394
0.407622,-0.744068,1.397
0.41178,-0.744687,1.398
0.416539,-0.746373,1.401
0.421316,-0.74806,1.404
0.428232,-0.75348,1.414
0.433678,-0.756239,1.419
0.43977,-0.760066,1.426
0.444969,-0.762296,1.43
0.451762,-0.767194,1.439
0.209216,-0.776126,1.455
0.210545,-0.766553,1.437
0.211927,-0.757513,1.42
0.214736,-0.753808,1.413
0.216888,-0.747969,1.402
0.220398,-0.746932,1.4
0.221655,-0.738427,1.384
0.223966,-0.733656,1.375
0.225565,-0.726752,1.362
0.228778,-0.725183,1.359
0.231461,-0.722015,1.353
0.235329,-0.722583,1.354
0.238674,-0.72155,1.352
0.242367,-0.721586,1.352
0.246242,-0.722156,1.353
0.250493,-0.723794,1.356
0.254012,-0.723299,1.355
0.257525,-0.722804,1.354
0.26142,-0.723378,1.355
0.266103,-0.726088,1.36
0.270418,-0.727732,1.363
0.275353,-0.730979,1.369
0.28073,-0.735295,1.377
0.286978,-0.741748,1.389
0.293292,-0.748204,1.401
0.300098,-0.755729,1.415
0.306336,-0.761654,1.426
0.31133,-0.764376,1.431
0.369429,-0.815136,1.525
0.371658,-0.810927,1.517
0.370624,-0.799769,1.496
0.370728,-0.791283,1.48
0.370493,-0.782263,1.463
0.371957,-0.776986,1.453
0.374661,-0.774383,1.448
0.378124,-0.773385,1.446
0.380256,-0.769715,1.439
0.381549,-0.76444,1.429
0.38225,-0.758096,1.417
0.384794,-0.755497,1.412
0.387862,-0.753969,1.409
0.391749,-0.754048,1.409
0.395077,-0.753058,1.407
0.397544,-0.750464,1.402
0.400271,-0.748406,1.398
0.403846,-0.747955,1.397
0.409751,-0.75179,1.404
0.41334,-0.751342,1.403
0.418413,-0.753574,1.407
0.422909,-0.754738,1.409
0.430447,-0.76126,1.421
0.435914,-0.764035,1.426
