7,32,26,143
x,y,z
0.2051,-0.666744,1.516
0.205374,-0.671757,1.518
0.207564,-0.665566,1.504
0.367041,-0.666036,1.504
0.370893,-0.665616,1.503
0.206461,-0.679454,1.526
0.207983,-0.670999,1.507
0.32394,-0.665505,1.494
0.367553,-0.671055,1.506
0.370917,-0.669743,1.503
0.373018,-0.666203,1.495
0.207684,-0.687645,1.535
0.208816,-0.677795,1.513
0.210673,-0.670633,1.497
0.319249,-0.668236,1.491
0.325259,-0.672287,1.5
0.367822,-0.67564,1.507
0.370943,-0.673872,1.503
0.373793,-0.671656,1.498
0.376112,-0.668545,1.491
0.207689,-0.691831,1.535
0.20965,-0.684625,1.519
0.211102,-0.676068,1.5
0.314364,-0.670501,1.487
0.320552,-0.675028,1.497
0.326795,-0.679556,1.507
0.357946,-0.66893,1.483
0.367359,-0.678879,1.505
0.371216,-0.678455,1.504
0.37382,-0.675775,1.498
0.376645,-0.673548,1.493
0.377913,-0.668614,1.482
0.208913,-0.700099,1.544
0.209932,-0.689677,1.521
0.21153,-0.681522,1.503
0.213318,-0.674274,1.487
0.309291,-0.672292,1.482
0.315228,-0.676393,1.491
0.321427,-0.680948,1.501
0.328116,-0.686412,1.513
0.329161,-0.680081,1.499
0.361593,-0.679814,1.498
0.367386,-0.683018,1.505
0.370997,-0.682138,1.503
0.373848,-0.679897,1.498
0.376169,-0.676749,1.491
0.378198,-0.673148,1.483
0.210353,-0.695197,1.524
0.21196,-0.686994,1.506
0.214186,-0.681071,1.493
0.216926,-0.676974,1.484
0.304452,-0.674513,1.478
0.309727,-0.67727,1.484
0.315669,-0.681396,1.493
0.321875,-0.68598,1.503
0.328787,-0.691934,1.516
0.335112,-0.69652,1.526
0.364034,-0.688501,1.508
0.368879,-0.689899,1.511
0.371766,-0.687645,1.506
0.374127,-0.684478,1.499
0.376199,-0.680855,1.491
0.378228,-0.677233,1.483
0.379441,-0.672242,1.472
0.209334,-0.709907,1.547
0.211465,-0.703031,1.532
0.212953,-0.69432,1.513
0.214911,-0.687445,1.498
0.217665,-0.683323,1.489
0.220371,-0.679202,1.48
0.223028,-0.675081,1.471
0.291019,-0.675301,1.471
0.295423,-0.676237,1.473
0.300041,-0.677632,1.476
0.305501,-0.680864,1.483
0.310999,-0.684098,1.49
0.316535,-0.687332,1.497
0.322753,-0.691944,1.507
0.32946,-0.697476,1.519
0.332938,-0.696121,1.516
0.365028,-0.69449,1.512
0.369884,-0.695897,1.515
0.372043,-0.692252,1.507
0.374657,-0.689527,1.501
0.376735,-0.685883,1.493
0.379026,-0.6827,1.486
0.380247,-0.677679,1.475
0.382713,-0.674956,1.469
0.210559,-0.718289,1.556
0.21175,-0.708141,1.534
0.213665,-0.700764,1.518
0.215637,-0.693848,1.503
0.217967,-0.688318,1.491
0.220529,-0.683711,1.481
0.223189,-0.679566,1.472
0.226263,-0.676806,1.466
0.286253,-0.677472,1.467
0.29163,-0.680723,1.474
0.296644,-0.68305,1.479
0.301686,-0.685378,1.484
0.307374,-0.689093,1.492
0.312689,-0.691885,1.498
0.318036,-0.694677,1.504
0.323417,-0.69747,1.51
0.330133,-0.703036,1.522
0.36554,-0.699579,1.514
0.369426,-0.699147,1.513
0.37232,-0.696868,1.508
0.375188,-0.694589,1.503
0.37702,-0.690463,1.494
0.379059,-0.686799,1.486
0.380797,-0.682673,1.477
0.383008,-0.679473,1.47
0.385445,-0.676735,1.464
0.212311,-0.714194,1.538
0.214097,-0.706309,1.521
0.216364,-0.700282,1.508
0.219,-0.695648,1.498
0.22173,-0.691478,1.489
0.224109,-0.686381,1.478
0.227045,-0.683141,1.471
0.230101,-0.680365,1.465
0.233604,-0.678984,1.462
0.269015,-0.678179,1.46
0.273361,-0.679124,1.462
0.277528,-0.679606,1.463
0.281894,-0.680552,1.465
0.287246,-0.683822,1.472
0.29244,-0.686628,1.478
0.297466,-0.68897,1.483
0.302926,-0.692242,1.49
0.308631,-0.69598,1.498
0.313754,-0.698324,1.503
0.318904,-0.70067,1.508
0.324083,-0.703016,1.513
0.331241,-0.709545,1.527
0.364846,-0.702358,1.511
0.368969,-0.702389,1.511
0.372106,-0.700562,1.507
0.374972,-0.698271,1.502
0.376549,-0.693656,1.492
0.379348,-0.691366,1.487
0.38109,-0.687217,1.478
0.383565,-0.684463,1.472
0.385745,-0.681245,1.465
0.388686,-0.679423,1.461
0.214391,-0.725408,1.553
0.215796,-0.716076,1.533
0.217522,-0.708146,1.516
0.219741,-0.702084,1.503
0.222337,-0.697424,1.493
0.224727,-0.692296,1.482
0.227674,-0.689038,1.475
0.230584,-0.68578,1.468
0.234255,-0.684858,1.466
0.237428,-0.682535,1.461
0.240905,-0.681146,1.458
0.260551,-0.680752,1.457
0.264696,-0.681235,1.458
0.269584,-0.683588,1.463
0.273752,-0.684072,1.464
0.277925,-0.684557,1.465
0.282297,-0.68551,1.467
0.287655,-0.6888,1.474
0.293053,-0.692091,1.481
0.298288,-0.694915,1.487
0.30376,-0.698207,1.494
0.309477,-0.701968,1.502
0.314194,-0.703392,1.505
0.319562,-0.70622,1.511
0.325178,-0.709516,1.518
0.332568,-0.716552,1.533
0.365602,-0.707929,1.514
0.36949,-0.707494,1.513
0.371892,-0.704254,1.506
0.374506,-0.701483,1.5
0.375827,-0.696373,1.489
0.379129,-0.695006,1.486
0.381642,-0.692237,1.48
0.383863,-0.689,1.473
0.38552,-0.684828,1.464
0.388192,-0.682528,1.459
0.391108,-0.680697,1.455
0.218199,-0.728261,1.55
0.219398,-0.718406,1.529
0.221214,-0.710899,1.513
0.223391,-0.704803,1.5
0.225496,-0.698706,1.487
0.228458,-0.69543,1.48
0.231382,-0.692153,1.473
0.234747,-0.690287,1.469
0.237604,-0.687011,1.462
0.241084,-0.685615,1.459
0.244379,-0.683749,1.455
0.248166,-0.683294,1.454
0.252294,-0.683779,1.455
0.256604,-0.684735,1.457
0.260925,-0.685691,1.459
0.265257,-0.686648,1.461
0.269786,-0.688075,1.464
0.273956,-0.688563,1.465
0.278323,-0.689522,1.467
0.282893,-0.690951,1.47
0.288651,-0.695201,1.479
0.293667,-0.697572,1.484
0.299112,-0.700884,1.491
0.303985,-0.702786,1.495
0.309499,-0.7061,1.502
0.314217,-0.707534,1.505
0.320432,-0.712259,1.515
0.327131,-0.717926,1.527
0.336716,-0.729707,1.552
0.367084,-0.71493,1.52
0.369768,-0.712142,1.514
0.37168,-0.707943,1.505
0.374042,-0.704686,1.498
0.376115,-0.700959,1.49
0.379676,-0.700055,1.488
0.38168,-0.696329,1.48
0.384162,-0.693545,1.474
0.386086,-0.689821,1.466
0.388765,-0.687508,1.461
0.391687,-0.685667,1.457
0.393501,-0.681944,1.449
0.485637,-0.695361,1.475
0.220322,-0.739597,1.565
0.220127,-0.724959,1.534
0.221811,-0.716937,1.517
0.223552,-0.709387,1.501
0.226267,-0.705146,1.492
