7,32,19,767
x,y,z
1.66553,1.38657,7.959
1.66244,1.3191,7.943
0.877084,0.879239,6.082
0.891721,0.877308,6.069
0.973915,0.876755,6.067
0.996771,0.882336,6.106
1.01901,0.887193,6.14
1.03586,0.887281,6.141
1.04791,0.883324,6.114
1.0593,0.878932,6.084
1.07264,0.876275,6.066
1.08767,0.875062,6.058
1.10539,0.876015,6.065
1.12592,0.879134,6.087
0.879442,0.86496,6.098
0.894269,0.863207,6.086
0.907981,0.860461,6.067
0.922653,0.858708,6.055
0.938499,0.858088,6.051
0.95716,0.860021,6.065
0.974932,0.861102,6.073
1.03861,0.872847,6.157
1.05105,0.869247,6.132
1.06249,0.864938,6.102
1.07481,0.861479,6.078
1.09042,0.860714,6.073
1.11001,0.863066,6.09
1.13042,0.865984,6.111
0.880646,0.849478,6.106
0.896083,0.848315,6.098
0.909978,0.845761,6.08
0.924076,0.843484,6.064
0.940722,0.843572,6.065
0.961474,0.847275,6.092
0.982852,0.851394,6.122
1.02609,0.859629,6.182
1.04052,0.857628,6.168
1.05248,0.853679,6.14
1.06341,0.849035,6.107
1.07575,0.845643,6.083
1.09335,0.846421,6.089
1.11426,0.8497,6.113
1.13307,0.85131,6.125
0.878965,0.831222,6.094
0.895104,0.830764,6.091
0.910926,0.830032,6.086
0.925803,0.828482,6.075
0.943255,0.829249,6.081
0.965472,0.834106,6.117
0.985795,0.83719,6.14
1.0394,0.839892,6.161
1.05271,0.837111,6.141
1.06469,0.833376,6.114
1.07846,0.83114,6.098
1.09628,0.832038,6.105
1.11814,0.835934,6.134
1.13775,0.838058,6.15
0.871062,0.822836,6.155
0.878436,0.814099,6.09
0.894272,0.813382,6.085
0.912173,0.814536,6.094
0.928292,0.814085,6.091
0.946874,0.815772,6.104
0.966629,0.818394,6.124
0.987774,0.822084,6.152
1.03777,0.821792,6.151
1.05276,0.820402,6.141
1.06735,0.818745,6.129
1.08188,0.817087,6.117
1.09921,0.817566,6.121
1.11966,0.820316,6.142
1.14058,0.823331,6.165
0.88108,0.799875,6.108
0.896966,0.799173,6.103
0.913719,0.799255,6.104
0.930323,0.799206,6.104
0.948321,0.800335,6.113
0.966206,0.801332,6.121
0.986059,0.803899,6.141
1.01629,0.801309,6.122
1.03765,0.804921,6.15
1.05333,0.804083,6.144
1.0702,0.80416,6.145
1.08689,0.804106,6.145
1.10285,0.803529,6.141
1.1219,0.805175,6.154
1.14286,0.808129,6.177
0.900541,0.785633,6.127
0.914666,0.783405,6.11
0.930372,0.782588,6.104
0.94837,0.783693,6.113
0.96673,0.785053,6.124
0.990285,0.790515,6.167
1.03922,0.789336,6.159
1.05493,0.788514,6.153
1.07216,0.788846,6.156
1.08818,0.78828,6.152
1.10542,0.788611,6.155
1.12286,0.789069,6.159
1.14347,0.791705,6.18
0.890551,0.774767,6.173
0.903675,0.771583,6.148
0.916809,0.768524,6.124
0.931792,0.767096,6.113
0.950591,0.768804,6.127
0.969779,0.770763,6.143
