7,32,22,649
x,y,z
1.75852,1.3207,7.357
0.714985,0.212471,4.101
0.730379,0.213699,4.125
0.740509,0.213372,4.119
0.749509,0.212734,4.107
0.759182,0.212303,4.099
0.770313,0.212287,4.099
0.782204,0.212478,4.103
0.793342,0.212461,4.103
0.804281,0.212393,4.102
0.815611,0.212428,4.103
0.716221,0.20162,4.108
0.730749,0.202537,4.127
0.741064,0.202277,4.122
0.750984,0.201918,4.115
0.761235,0.201657,4.11
0.772584,0.20169,4.111
0.784127,0.201773,4.113
0.795485,0.201806,4.114
0.806454,0.201741,4.113
0.817018,0.201578,4.11
0.715189,0.190127,4.102
0.73218,0.191642,4.135
0.741978,0.191257,4.127
0.752094,0.190964,4.121
0.762176,0.190672,4.115
0.773539,0.190703,4.116
0.784905,0.190735,4.117
0.796467,0.190812,4.119
0.808038,0.19089,4.121
0.819618,0.190968,4.123
0.715726,0.179059,4.105
0.73308,0.180572,4.14
0.74361,0.180384,4.136
0.753386,0.180021,4.128
0.763672,0.179789,4.123
0.774681,0.179732,4.122
0.786063,0.179761,4.123
0.798029,0.179922,4.127
0.811387,0.180387,4.138
0.824206,0.180721,4.146
0.570781,0.161721,3.952
0.669602,0.16211,3.964
0.719575,0.168751,4.127
0.735395,0.169801,4.153
0.745421,0.169502,4.146
0.754494,0.168998,4.134
0.764612,0.16874,4.128
0.775446,0.168645,4.126
0.787221,0.168755,4.129
0.799203,0.168905,4.133
0.811793,0.169178,4.14
0.823225,0.169205,4.141
0.572813,0.151457,3.966
0.581996,0.151026,3.955
0.590067,0.150329,3.937
0.599717,0.150051,3.93
0.609482,0.149812,3.924
0.619845,0.149725,3.922
0.629873,0.149562,3.918
0.64184,0.149856,3.926
0.655011,0.150418,3.941
0.670965,0.15159,3.972
0.721505,0.157902,4.138
0.735939,0.158577,4.156
0.747052,0.158527,4.155
0.75688,0.158209,4.147
0.767588,0.158083,4.144
0.777902,0.15788,4.139
0.790093,0.158058,4.144
0.801536,0.158084,4.145
0.813374,0.158186,4.148
0.822443,0.157753,4.137
0.561736,0.140557,3.964
0.572389,0.140512,3.963
0.582005,0.140219,3.955
0.590077,0.139572,3.937
0.600185,0.13942,3.933
0.610114,0.139234,3.928
0.621278,0.13933,3.931
0.631331,0.139178,3.927
