x,y,z
1.00461,1.12386,5.79091
0.998998,1.14597,5.74218
0.987974,1.12841,5.68236
0.980395,1.10922,5.65806
0.971824,1.06012,5.60697
0.968443,1.02601,5.57812
0.963518,1.01431,5.51554
0.984334,0.997674,5.47853
0.967184,0.965691,5.42293
0.957394,0.948385,5.36962
0.972545,0.948161,5.32749
0.944129,0.92808,5.23489
0.933341,0.895483,5.16348
0.92698,0.878921,5.12715
0.904724,0.84837,5.04817
0.895388,0.823792,4.97589
0.874901,0.799761,4.8833
0.863964,0.785507,4.82956
0.850357,0.76309,4.7634
0.849837,0.763069,4.76184
0.849385,0.763657,4.76046
0.811349,0.691539,4.58966
0.799947,0.657303,4.50586
0.786122,0.638681,4.42206
0.777631,0.62689,4.36014
0.765048,0.613072,4.28902
0.758486,0.600847,4.24785
0.750016,0.58796,4.21525
0.724686,0.549541,4.1145
0.706595,0.517645,4.04299
0.688884,0.450982,3.96445
0.680173,0.466478,3.92757
0.6634,0.446241,3.85457
0.653144,0.440477,3.80249
0.63721,0.406842,3.73222
0.629401,0.400657,3.69803
0.620489,0.379021,3.65406
0.603568,0.332542,3.57176
0.594919,0.313545,3.482
0.585157,0.291169,3.41355
0.571018,0.249937,3.34197
0.544771,0.248634,3.24571
0.553558,0.220294,3.20686
0.524444,0.172813,3.1471
0.504821,0.171057,3.07289
0.489787,0.163738,2.99581
0.498587,0.145587,2.96243
0.465223,0.144089,2.88762
0.476333,0.111082,2.84343
0.455625,0.0568649,2.73388
0.459948,-0.0487495,2.65869
0.450557,-0.04535,2.57643
0.492907,-0.0783019,2.46444
0.454087,-0.132471,2.39756
0.448673,-0.205784,2.33828
0.462852,-0.153339,2.30223
0.458016,-0.200508,2.22389
0.45509,-0.147923,2.15621
0.447673,-0.13675,2.10175
0.443287,-0.140384,2.05133
0.433529,-0.134114,1.98042
0.417129,-0.167975,1.84556
0.409602,-0.197681,1.77901
0.405671,-0.213876,1.74354
0.395997,-0.233347,1.66317
