7,40,59,532
x,y,z
1.82265,1.50319,7.895
1.84075,1.50044,7.881
1.82528,1.48385,7.906
1.84247,1.48038,7.888
1.84747,1.46287,7.909
1.828,1.44297,7.917
1.83179,1.42437,7.933
1.84999,1.42176,7.919
1.83049,1.40179,7.927
1.84798,1.39869,7.91
1.83708,1.36905,7.863
0.918097,0.580119,5.189
0.93255,0.580302,5.191
0.943729,0.578473,5.175
0.920614,0.567512,5.203
0.933488,0.566709,5.196
0.945775,0.565578,5.186
0.956895,0.563793,5.17
0.968864,0.562553,5.159
0.982485,0.562294,5.157
0.996286,0.562144,5.156
1.01145,0.562757,5.162
1.02744,0.563805,5.172
0.922777,0.554614,5.215
0.937481,0.554894,5.218
0.947821,0.552622,5.197
0.958415,0.550562,5.178
0.970219,0.549246,5.166
0.983669,0.548887,5.163
0.99768,0.548847,5.163
1.01208,0.549019,5.165
1.02629,0.549085,5.166
0.750173,0.519409,5.009
0.844181,0.518339,5.001
0.862403,0.521101,5.028
0.924054,0.541131,5.222
0.93734,0.540575,5.217
0.950414,0.539914,5.211
0.961416,0.538114,5.194
0.973075,0.536728,5.181
0.986566,0.536378,5.178
0.999652,0.535821,5.173
1.01428,0.536092,5.176
1.02693,0.535327,5.169
0.750805,0.506156,5.013
0.762006,0.504508,4.997
0.772807,0.502658,4.979
0.784298,0.501313,4.966
0.79684,0.500674,4.96
0.811634,0.501447,4.968
0.827632,0.502927,4.983
0.847086,0.506425,5.018
0.865698,0.509316,5.047
0.925154,0.527507,5.228
0.938276,0.526864,5.222
0.950817,0.525919,5.213
0.963491,0.525073,5.205
0.974429,0.52332,5.188
0.987558,0.522778,5.183
1.00143,0.522638,5.182
1.01647,0.523104,5.187
1.03531,0.525485,5.211
0.740281,0.494582,5.034
0.752035,0.493273,5.021
0.763106,0.491571,5.004
0.773771,0.489673,4.985
0.785595,0.48856,4.974
0.79848,0.488134,4.97
0.813792,0.489181,4.981
0.82966,0.490523,4.995
0.848809,0.493729,5.028
0.868135,0.496935,5.061
0.927137,0.51434,5.239
0.939751,0.51342,5.23
0.952861,0.512794,5.224
0.966305,0.512364,5.22
0.978411,0.511247,5.209
