7,40,58,507
x,y,z
1.71989,1.50727,7.914
1.74154,1.50737,7.915
1.70412,1.49078,7.94
1.72302,1.48844,7.928
1.74471,1.48853,7.929
1.72703,1.47027,7.946
1.74701,1.46888,7.939
1.72951,1.45072,7.957
1.72938,1.42895,7.956
1.70513,1.40516,7.943
1.73143,1.40896,7.965
1.70586,1.38413,7.946
1.73304,1.38857,7.972
1.71089,1.3665,7.969
1.73552,1.36882,7.983
1.71399,1.34724,7.983
1.71558,1.32673,7.99
1.01186,0.820727,5.903
1.02946,0.821925,5.912
1.04428,0.820898,5.905
1.05851,0.819453,5.895
1.07397,0.818981,5.892
1.0896,0.818648,5.89
1.10727,0.819843,5.899
1.01311,0.805622,5.91
1.03021,0.806387,5.916
1.04628,0.806334,5.916
1.06036,0.80478,5.905
1.07567,0.804181,5.901
1.09113,0.803718,5.898
1.10733,0.803799,5.899
1.12562,0.805379,5.911
0.86622,0.773502,5.787
0.879523,0.771316,5.771
0.893046,0.769397,5.757
0.908069,0.768815,5.753
0.922425,0.767697,5.745
0.939348,0.768717,5.753
0.954984,0.768668,5.753
1.03148,0.791226,5.923
1.0458,0.789837,5.913
1.06275,0.790452,5.918
1.079,0.790532,5.919
1.09285,0.788876,5.907
1.10701,0.787486,5.897
0.868063,0.759319,5.799
0.881094,0.756915,5.781
0.894024,0.754512,5.763
0.908117,0.753155,5.753
0.923598,0.752977,5.752
0.93956,0.75319,5.754
0.958021,0.755367,5.771
1.03693,0.779165,5.954
1.0501,0.776889,5.937
1.0637,0.775004,5.923
1.08015,0.775213,5.925
1.09364,0.773328,5.911
1.10668,0.771182,5.895
0.856741,0.747422,5.829
0.868408,0.743786,5.801
0.880683,0.740791,5.778
0.89283,0.737797,5.755
0.907533,0.736981,5.749
0.923806,0.737447,5.753
0.940588,0.738296,5.76
0.959066,0.740427,5.777
1.02784,0.768266,5.995
1.04064,0.765652,5.975
1.05439,0.763807,5.961
1.06789,0.761833,5.946
1.08294,0.761012,5.94
1.09832,0.760447,5.936
1.11237,0.758985,5.925
0.867106,0.72686,5.792
0.879509,0.724054,5.77
0.893186,0.722377,5.757
0.908368,0.721955,5.754
0.924816,0.722536,5.759
0.941452,0.723242,5.765
0.959778,0.725202,5.781
1.0296,0.753202,6.005
1.04539,0.752775,6.002
1.05692,0.749338,5.975
1.07207,0.748534,5.969
1.08737,0.747856,5.964
1.10245,0.747051,5.958
0.866103,0.710226,5.785
0.879706,0.708463,5.771
0.893386,0.706822,5.758
0.909361,0.707023,5.76
0.926147,0.707837,5.767
0.943785,0.709263,5.779
0.963976,0.71253,5.806
1.03154,0.738204,6.016
1.04666,0.737295,6.009
1.06139,0.73614,6
1.07625,0.735108,5.992
1.09289,0.735303,5.994
1.11045,0.73611,6.001
0.881122,0.693824,5.78
0.894827,0.69222,5.767
0.910827,0.692416,5.769
0.927959,0.693451,5.778
0.946771,0.695686,5.797
0.967178,0.699,5.825
1.03142,0.721703,6.015
1.04671,0.720934,6.009
1.06304,0.720885,6.009
1.07918,0.720715,6.008
1.09549,0.720665,6.008
1.1118,0.720615,6.008
0.867986,0.680116,5.797
0.88147,0.678313,5.782
0.895647,0.677097,5.772
0.912292,0.677758,5.778
0.930413,0.679473,5.793
0.948776,0.681305,5.809
0.96905,0.684426,5.836
1.03369,0.706848,6.028
1.04833,0.705627,6.018
1.06503,0.705813,6.02
1.08246,0.706468,6.026
1.09828,0.706066,6.023
1.11518,0.706368,6.026
0.867878,0.664207,5.796
0.882123,0.663019,5.786
0.896465,0.661945,5.777
0.912809,0.662361,5.781
0.930136,0.663463,5.791
0.947677,0.664679,5.802
0.968099,0.667843,5.83
1.03614,0.692034,6.042
1.05169,0.691414,6.037
1.06773,0.691137,6.035
1.08394,0.690974,6.034
1.0996,0.690468,6.03
1.11412,0.689274,6.02
0.868219,0.648636,5.798
0.882469,0.647476,5.788
0.896818,0.646428,5.779
0.912694,0.646498,5.78
0.929697,0.64735,5.788
0.948211,0.649209,5.805
0.967811,0.651737,5.828
1.03859,0.677142,6.056
1.05539,0.677319,6.058
1.07114,0.676825,6.054
1.08741,0.676665,6.053
1.1033,0.676282,6.05
1.1188,0.675675,6.045
0.868708,0.633162,5.801
0.883425,0.632357,5.794
0.89748,0.631116,5.783
0.912894,0.630857,5.781
0.929418,0.631361,5.786
0.947601,0.632956,5.801
0.970014,0.637277,5.841
0.871294,0.619159,5.818
0.883618,0.616672,5.795
0.897986,0.615674,5.786
0.913724,0.615634,5.786
0.930745,0.616444,5.794
0.949113,0.618105,5.81
0.97371,0.623702,5.863
0.871782,0.60361,5.821
0.884267,0.60129,5.799
0.898336,0.60011,5.788
0.914238,0.600174,5.789
0.931267,0.600964,5.797
0.949481,0.602478,5.812
0.970928,0.605962,5.846
0.886593,0.586995,5.814
0.899617,0.585139,5.796
0.914435,0.584495,5.79
0.931628,0.585364,5.799
0.949848,0.586839,5.814
