7,42,6,821
x,y,z
1.80067,1.38866,7.62
1.7854,1.35633,7.555
1.8007,1.32648,7.619
0.71223,0.253048,4.217
0.738469,0.254151,4.236
0.74998,0.254132,4.236
0.759512,0.253454,4.225
0.769712,0.253015,4.218
0.779501,0.252455,4.209
0.836825,0.252418,4.21
0.848044,0.252338,4.209
0.859052,0.252198,4.207
0.586694,0.242006,4.222
0.596637,0.24136,4.211
0.606662,0.240771,4.201
0.616189,0.24001,4.188
0.626393,0.239536,4.18
0.648371,0.239217,4.175
0.660364,0.239429,4.179
0.67302,0.239871,4.187
0.685063,0.240083,4.191
0.698787,0.240868,4.205
0.712417,0.241595,4.218
0.751769,0.243145,4.246
0.760609,0.242268,4.231
0.770643,0.241791,4.223
0.780631,0.241315,4.215
0.791137,0.24101,4.21
0.800661,0.240419,4.2
0.811868,0.240343,4.199
0.824637,0.240725,4.206
0.838434,0.241393,4.218
0.850683,0.241603,4.222
0.586153,0.230254,4.218
0.59651,0.229802,4.21
0.60711,0.22946,4.204
0.616793,0.22879,4.192
0.627607,0.228556,4.188
0.637787,0.228104,4.18
0.649319,0.228143,4.181
0.661171,0.228291,4.184
0.674483,0.22893,4.196
0.686714,0.229186,4.201
0.700798,0.230043,4.217
0.714968,0.230899,4.233
0.754266,0.23232,4.26
0.763324,0.231539,4.246
0.771938,0.230649,4.23
0.780834,0.229868,4.216
0.791343,0.229578,4.211
0.802014,0.229342,4.207
0.814207,0.229542,4.211
0.826616,0.229797,4.216
0.840441,0.230433,4.228
0.853321,0.230796,4.235
0.5961,0.218146,4.207
0.606836,0.217872,4.202
0.617102,0.217443,4.194
0.627922,0.217221,4.19
0.638565,0.216947,4.185
0.649956,0.216932,4.185
0.66166,0.217021,4.187
0.67482,0.217576,4.198
0.688038,0.21813,4.209
0.702975,0.219203,4.23
0.716335,0.219757,4.241
0.753928,0.220589,4.258
0.763341,0.219951,4.246
0.772503,0.219261,4.233
0.781037,0.218415,4.217
0.79136,0.218088,4.211
0.802603,0.218019,4.21
0.815384,0.218364,4.217
0.828594,0.218813,4.226
0.842248,0.219365,4.237
0.85475,0.219607,4.242
0.596964,0.206947,4.213
0.607139,0.206491,4.204
0.617411,0.206085,4.196
0.628386,0.205924,4.193
0.639495,0.205811,4.191
0.650747,0.205748,4.19
0.662149,0.205734,4.19
0.675478,0.206308,4.202
0.690178,0.207276,4.222
0.705151,0.208292,4.243
0.718547,0.208816,4.254
0.742373,0.208982,4.258
0.75483,0.209212,4.263
0.764795,0.208754,4.254
0.773797,0.208051,4.24
0.782349,0.20725,4.224
0.793068,0.207038,4.22
0.804145,0.206924,4.218
0.817335,0.207349,4.227
0.830375,0.207725,4.235
0.843855,0.208199,4.245
0.855976,0.20833,4.248
0.599811,0.196364,4.233
0.608452,0.195423,4.213
0.61816,0.194854,4.201
0.628849,0.194609,4.196
0.640577,0.194688,4.198
0.652003,0.194675,4.198
0.66406,0.194847,4.202
0.677421,0.195389,4.214
0.692318,0.196349,4.235
0.706661,0.197123,4.252
0.756793,0.198084,4.274
0.765709,0.197374,4.259
0.775272,0.19685,4.248
0.784032,0.196139,4.233
0.795339,0.196078,4.232
0.806448,0.19597,4.23
0.818897,0.196186,4.235
0.832156,0.196588,4.244
0.845064,0.196896,4.251
0.857201,0.197019,4.254
0.594962,0.186905,4.281
0.602515,0.185627,4.252
0.609909,0.184349,4.223
0.61935,0.183726,4.209
0.629761,0.183408,4.202
0.641658,0.183526,4.205
0.65357,0.183645,4.208
0.667234,0.184243,4.222
0.681132,0.184884,4.237
0.695438,0.185613,4.254
0.709002,0.186123,4.266
0.722799,0.186676,4.279
0.758401,0.186809,4.283
0.767342,0.186141,4.268
0.777477,0.185778,4.26
0.78664,0.185197,4.247
0.797797,0.185095,4.245
0.80837,0.184863,4.24
0.820266,0.184935,4.242
0.832563,0.185095,4.246
0.844681,0.185211,4.249
0.85641,0.18524,4.25
0.604795,0.174663,4.268
0.612232,0.173465,4.239
0.621127,0.172717,4.221
0.630972,0.172255,4.21
0.642739,0.172325,4.212
0.65529,0.1726,4.219
0.669775,0.173365,4.238
0.6842,0.174089,4.256
0.697412,0.174486,4.266
0.710677,0.174882,4.276
0.723825,0.175237,4.285
0.758769,0.175198,4.285
0.767895,0.174612,4.271
0.778951,0.174476,4.268
0.788321,0.173972,4.256
0.799127,0.173795,4.252
0.809718,0.173577,4.247
0.821634,0.173646,4.249
0.833362,0.173673,4.25
0.845093,0.1737,4.251
0.856626,0.173686,4.251
0.615565,0.16276,4.262
0.623787,0.161871,4.239
0.632782,0.161211,4.222
0.643818,0.161086,4.219
0.6567,0.161418,4.228
0.671683,0.162247,4.25
