7,42,8,926
x,y,z
0.347256,-0.259675,2.713
0.457003,-0.258852,2.707
0.465218,-0.259312,2.712
0.347497,-0.267273,2.715
0.353195,-0.265978,2.702
0.359089,-0.26488,2.691
0.431371,-0.264122,2.685
0.440143,-0.264989,2.694
0.448962,-0.265856,2.703
0.457829,-0.266723,2.712
0.465886,-0.267098,2.716
0.348761,-0.275691,2.725
0.353833,-0.273854,2.707
0.360674,-0.273434,2.703
0.366675,-0.272406,2.693
0.373593,-0.272086,2.69
0.379926,-0.271362,2.683
0.387087,-0.271244,2.682
0.394093,-0.271024,2.68
0.401836,-0.27131,2.683
0.409137,-0.271293,2.683
0.416281,-0.271174,2.682
0.423893,-0.271358,2.684
0.432317,-0.272048,2.691
0.441105,-0.272939,2.7
0.44994,-0.273831,2.709
0.458992,-0.274823,2.719
0.467411,-0.27541,2.725
0.345418,-0.280422,2.699
0.354993,-0.282173,2.716
0.361725,-0.281637,2.711
0.36802,-0.280789,2.703
0.374548,-0.280149,2.697
0.381184,-0.279612,2.692
0.38808,-0.279284,2.689
0.395105,-0.279058,2.687
0.402567,-0.279145,2.688
0.409729,-0.279023,2.687
0.416884,-0.278901,2.686
0.424348,-0.278986,2.687
0.432459,-0.279487,2.692
0.441413,-0.280506,2.702
0.450087,-0.281318,2.71
0.459985,-0.282855,2.725
0.468592,-0.283562,2.732
0.462948,-0.275759,2.657
0.347577,-0.289596,2.716
0.356153,-0.290539,2.725
0.36331,-0.290309,2.723
0.369909,-0.289652,2.717
0.376336,-0.288888,2.71
0.382441,-0.287912,2.701
0.388928,-0.287254,2.695
0.395528,-0.286704,2.69
0.402699,-0.286579,2.689
0.410016,-0.286561,2.689
0.417331,-0.286542,2.689
0.425277,-0.286949,2.693
0.432762,-0.287037,2.694
0.441884,-0.28819,2.705
0.450898,-0.289236,2.715
0.461316,-0.291133,2.733
0.469773,-0.291752,2.739
0.358881,-0.300265,2.746
0.36516,-0.299264,2.737
0.371253,-0.298153,2.727
0.377152,-0.296933,2.716
0.383131,-0.295821,2.706
0.389343,-0.294929,2.698
0.396392,-0.294692,2.696
0.40328,-0.294345,2.693
0.41076,-0.294436,2.694
0.417933,-0.294308,2.693
0.42589,-0.294726,2.697
0.432742,-0.294379,2.694
0.441864,-0.295561,2.705
0.451377,-0.296961,2.718
0.46214,-0.299126,2.738
0.361869,-0.310329,2.769
0.367811,-0.308967,2.757
0.373278,-0.307268,2.742
0.378522,-0.305457,2.726
0.383962,-0.30387,2.712
0.390046,-0.302843,2.703
0.396815,-0.302376,2.699
0.404159,-0.302357,2.699
0.412113,-0.302786,2.703
0.419931,-0.303103,2.706
0.427449,-0.303195,2.707
0.434168,-0.302727,2.703
0.442824,-0.303603,2.711
0.452851,-0.305374,2.727
0.463301,-0.307369,2.745
0.362505,-0.318451,2.774
0.36966,-0.318089,2.771
0.374893,-0.316119,2.754
0.379476,-0.31369,2.733
0.384793,-0.31195,2.718
0.390749,-0.310783,2.708
0.397531,-0.310305,2.704
0.404739,-0.310171,2.703
0.413008,-0.31084,2.709
0.420998,-0.311279,2.713
0.428377,-0.311259,2.713
0.435754,-0.311238,2.713
0.444437,-0.312136,2.721
0.455155,-0.314409,2.741
0.464292,-0.315535,2.751
0.370442,-0.326346,2.777
0.376371,-0.324917,2.765
0.380707,-0.322195,2.742
0.385907,-0.320296,2.726
0.391451,-0.31875,2.713
0.398099,-0.318143,2.708
0.405318,-0.318005,2.707
0.413445,-0.318573,2.712
0.421753,-0.319257,2.718
0.429303,-0.319354,2.719
0.437661,-0.320038,2.725
0.446539,-0.321074,2.734
0.456628,-0.322932,2.75
0.465452,-0.323849,2.758
0.371357,-0.334755,2.784
0.376761,-0.332812,2.768
0.381382,-0.330268,2.747
0.386878,-0.328565,2.733
0.392586,-0.327103,2.721
0.399256,-0.326482,2.716
0.406346,-0.326221,2.714
0.414187,-0.326562,2.717
0.422043,-0.326901,2.72
0.429914,-0.327241,2.723
0.438603,-0.328181,2.731
0.447335,-0.329121,2.739
0.456772,-0.330541,2.751
0.465261,-0.33124,2.757
0.371338,-0.342341,2.784
0.376877,-0.340477,2.769
0.381917,-0.338244,2.751
0.387849,-0.336871,2.74
0.394153,-0.335868,2.732
0.400852,-0.335233,2.727
0.408272,-0.335212,2.727
0.415843,-0.335314,2.728
0.423729,-0.335662,2.731
0.431314,-0.335763,2.732
0.439706,-0.336479,2.738
0.448456,-0.33744,2.746
0.457248,-0.338401,2.754
0.371852,-0.350428,2.788
0.377266,-0.348397,2.772
0.382869,-0.346617,2.758
0.389103,-0.345466,2.749
0.395575,-0.344565,2.742
0.402008,-0.343665,2.735
0.409299,-0.343518,2.734
0.416737,-0.343497,2.734
0.424638,-0.343853,2.737
0.431924,-0.343705,2.736
0.440166,-0.344311,2.741
0.44925,-0.345545,2.751
0.458222,-0.346653,2.76
0.463642,-0.319268,2.543
0.371698,-0.357893,2.787
0.378062,-0.356717,2.778
0.383959,-0.355156,2.766
0.390215,-0.35398,2.757
0.396997,-0.353317,2.752
0.403456,-0.352397,2.745
0.410775,-0.352247,2.744
0.417935,-0.351969,2.742
0.425547,-0.352075,2.743
0.432849,-0.351925,2.742
0.441107,-0.352544,2.747
0.450207,-0.353804,2.757
0.459859,-0.35545,2.77
0.454201,-0.324416,2.529
0.46362,-0.326189,2.543
0.466823,-0.323602,2.523
0.372611,-0.366402,2.794
0.378722,-0.364938,2.783
0.384632,-0.363344,2.771
0.391043,-0.362274,2.763
0.398129,-0.361859,2.76
0.405345,-0.361575,2.758
0.41255,-0.361291,2.756
0.419132,-0.360483,2.75
0.426301,-0.360198,2.748
0.434089,-0.360438,2.75
0.442369,-0.36107,2.755
0.451327,-0.362227,2.764
0.460666,-0.363645,2.775
0.4704,-0.365324,2.788
0.461183,-0.336407,2.568
0.463597,-0.333109,2.543
0.467541,-0.33099,2.527
0.472147,-0.329396,2.515
0.476305,-0.32754,2.501
0.372724,-0.374144,2.795
0.379381,-0.373185,2.788
0.385305,-0.371558,2.776
0.391587,-0.370332,2.767
0.39854,-0.369775,2.763
0.406499,-0.370154,2.766
0.414024,-0.370132,2.766
0.421091,-0.369708,2.763
0.428295,-0.369418,2.761
0.436276,-0.369796,2.764
0.444914,-0.370709,2.771
0.4531,-0.371221,2.775
0.462634,-0.372802,2.787
0.471894,-0.374115,2.797
0.463757,-0.340162,2.544
0.468073,-0.338267,2.53
0.472499,-0.336505,2.517
0.476663,-0.33461,2.503
0.48133,-0.333117,2.492
0.485936,-0.331623,2.481
0.56867,-0.332539,2.49
0.373103,-0.382163,2.798
0.379632,-0.381049,2.79
0.3857,-0.379525,2.779
0.392132,-0.378411,2.771
0.399384,-0.378116,2.769
0.407359,-0.378503,2.772
0.415049,-0.378617,2.773
0.422592,-0.378594,2.773
0.429978,-0.378434,2.772
0.438147,-0.378957,2.776
