7,42,4,584
x,y,z
1.72141,1.50861,7.921
1.70219,1.48909,7.931
1.72302,1.48844,7.928
1.70078,1.46629,7.924
1.72681,1.47008,7.945
1.71191,1.43246,7.975
1.71093,1.40993,7.97
1.70887,1.38656,7.96
1.7139,1.36891,7.983
1.7157,1.34859,7.991
1.0262,0.848692,5.987
1.04507,0.850763,6.002
1.06102,0.850424,6
1.07731,0.850368,6
1.09324,0.850027,5.998
1.10878,0.849404,5.994
1.12692,0.850763,6.004
0.874482,0.827865,5.951
1.00307,0.82676,5.946
1.02814,0.833936,5.998
1.04757,0.836384,6.016
1.06391,0.836329,6.016
1.07863,0.835022,6.007
1.09402,0.834271,6.002
1.11069,0.834493,6.004
1.13149,0.837771,6.028
0.868653,0.806213,5.911
0.877399,0.799482,5.862
0.888771,0.795342,5.832
0.902615,0.793521,5.819
0.91749,0.792653,5.813
0.933454,0.79274,5.814
0.951217,0.794326,5.826
0.975848,0.801501,5.879
1.0038,0.811128,5.95
1.02939,0.818572,6.005
1.04745,0.819881,6.015
1.06325,0.819418,6.012
1.07814,0.818273,6.004
1.09517,0.818763,6.008
1.11352,0.820206,6.019
0.879429,0.799881,5.984
0.876998,0.783125,5.859
0.889582,0.780137,5.837
0.903595,0.778485,5.825
0.918171,0.777367,5.817
0.933183,0.77665,5.812
0.950614,0.777937,5.822
0.972911,0.783098,5.861
1.00689,0.797342,5.968
1.03236,0.804504,6.022
1.05064,0.80592,6.033
1.06614,0.805199,6.028
1.08035,0.803542,6.016
1.09796,0.804422,6.023
1.11764,0.806771,6.041
0.876895,0.767044,5.858
0.89161,0.76595,5.85
0.90597,0.764593,5.84
0.91964,0.762712,5.826
0.934516,0.761878,5.82
0.950337,0.761829,5.82
0.971136,0.765707,5.85
1.03533,0.790341,6.039
1.05295,0.791205,6.046
1.06796,0.790105,6.038
1.08256,0.788743,6.028
1.10057,0.789867,6.037
1.11918,0.791382,6.049
0.87784,0.751864,5.864
0.893029,0.751176,5.859
0.906792,0.749335,5.845
0.920319,0.747365,5.83
0.935368,0.746676,5.825
0.952019,0.747269,5.83
0.971019,0.749655,5.849
1.03967,0.777109,6.064
1.05701,0.777698,6.069
1.07173,0.776364,6.059
1.08728,0.77567,6.054
1.10518,0.776642,6.062
1.12404,0.778254,6.075
0.892161,0.734469,5.853
0.906684,0.733294,5.844
0.921471,0.732369,5.837
0.937503,0.732448,5.838
0.954843,0.73353,5.847
1.04263,0.762735,6.081
1.05881,0.762433,6.079
1.07284,0.760625,6.065
1.09039,0.761325,6.071
1.10888,0.762652,6.082
1.12817,0.76448,6.097
0.848745,0.708919,5.774
0.877181,0.719311,5.859
0.890834,0.717425,5.844
0.905644,0.71652,5.837
0.920728,0.715861,5.832
0.93771,0.716674,5.839
0.956687,0.718959,5.858
1.04491,0.747775,6.094
1.06042,0.746988,6.088
1.07501,0.745587,6.077
1.0926,0.746272,6.083
1.11094,0.747447,6.093
1.12914,0.748499,6.102
0.87483,0.701431,5.843
0.889812,0.700667,5.837
0.905689,0.700622,5.837
0.921563,0.700577,5.837
0.93872,0.701492,5.845
0.95755,0.703607,5.863
1.02587,0.729431,6.079
1.04616,0.732022,6.101
1.06187,0.731372,6.096
1.07666,0.730123,6.086
1.09408,0.730672,6.091
1.11172,0.731341,6.097
1.13327,0.734528,6.124
0.876071,0.686451,5.851
0.889703,0.684649,5.836
0.905112,0.684253,5.833
0.921608,0.684678,5.837
0.939247,0.685924,5.848
0.959556,0.689046,5.875
1.04707,0.715994,6.106
1.06331,0.715711,6.104
1.07865,0.714841,6.097
1.09539,0.714909,6.098
1.11377,0.716031,6.108
0.879408,0.673031,5.873
0.892337,0.670696,5.853
0.906707,0.669508,5.843
0.923073,0.669808,5.846
0.939934,0.670452,5.852
0.960418,0.673615,5.88
1.05038,0.701541,6.125
1.06615,0.70092,6.12
1.08206,0.700413,6.116
1.09903,0.700594,6.118
1.11692,0.701346,6.125
0.87945,0.657027,5.873
0.892684,0.654971,5.855
0.906905,0.653699,5.844
0.922642,0.653545,5.843
0.938692,0.653614,5.844
0.958175,0.656031,5.866
0.878293,0.640147,5.865
0.893183,0.639342,5.858
0.907723,0.638319,5.849
0.923474,0.638168,5.848
0.939056,0.637908,5.846
0.957565,0.639611,5.862
0.983963,0.646442,5.925
0.878932,0.624586,5.869
0.893376,0.623482,5.859
0.90885,0.623123,5.856
0.923831,0.622444,5.85
0.939741,0.622402,5.85
0.958098,0.623957,5.865
0.880319,0.60952,5.878
0.895093,0.608652,5.87
0.910287,0.608094,5.865
0.925451,0.607535,5.86
0.941067,0.607288,5.858
0.958956,0.608491,5.87
