7,42,8,835
x,y,z
1.6383,0.870236,6.154
1.66025,0.847958,6.236
0.346906,-0.249937,2.769
0.350997,-0.247486,2.742
0.462441,-0.246977,2.739
0.472116,-0.248131,2.752
0.351623,-0.255434,2.747
0.356755,-0.253745,2.729
0.436869,-0.252639,2.719
0.44557,-0.253365,2.727
0.455144,-0.254555,2.74
0.463268,-0.254909,2.744
0.471927,-0.255542,2.751
0.352248,-0.263408,2.752
0.357524,-0.261765,2.735
0.363508,-0.260697,2.724
0.369975,-0.260012,2.717
0.376542,-0.259422,2.711
0.383358,-0.259023,2.707
0.390439,-0.258815,2.705
0.397803,-0.258799,2.705
0.405165,-0.258782,2.705
0.413289,-0.259244,2.71
0.421749,-0.259897,2.717
0.429614,-0.260166,2.72
0.437976,-0.260723,2.726
0.447023,-0.261661,2.736
0.456123,-0.2626,2.746
0.464263,-0.262964,2.75
0.471737,-0.262945,2.75
0.353,-0.271506,2.758
0.358424,-0.269916,2.742
0.364693,-0.269014,2.733
0.371049,-0.268211,2.725
0.377498,-0.267505,2.718
0.384474,-0.267194,2.715
0.391145,-0.266685,2.71
0.398522,-0.266668,2.71
0.405598,-0.266454,2.708
0.413729,-0.266929,2.713
0.422042,-0.267502,2.719
0.429912,-0.267779,2.722
0.438119,-0.268253,2.727
0.447168,-0.269219,2.737
0.456436,-0.270282,2.748
0.46475,-0.270755,2.753
0.472061,-0.270638,2.752
0.359715,-0.278407,2.752
0.366145,-0.277581,2.744
0.37253,-0.276756,2.736
0.378454,-0.275626,2.725
0.385307,-0.275205,2.721
0.392138,-0.274783,2.717
0.399387,-0.274665,2.716
0.406329,-0.274344,2.713
0.413864,-0.274428,2.714
0.421869,-0.274814,2.718
0.429736,-0.275099,2.721
0.4381,-0.275687,2.727
0.447313,-0.276781,2.738
0.456418,-0.277773,2.748
0.465238,-0.278562,2.756
0.355912,-0.288942,2.781
0.362051,-0.287783,2.77
0.368397,-0.286831,2.761
0.374556,-0.285775,2.751
0.379964,-0.2842,2.736
0.386281,-0.283352,2.728
0.392698,-0.282607,2.721
0.400398,-0.282797,2.723
0.40721,-0.282364,2.719
0.414456,-0.282242,2.718
0.422161,-0.282431,2.72
0.430034,-0.282724,2.723
0.438564,-0.283432,2.73
0.447784,-0.284555,2.741
0.457727,-0.286093,2.756
0.466062,-0.286592,2.761
0.363995,-0.296936,2.785
0.370514,-0.296066,2.777
0.376444,-0.294769,2.765
0.381752,-0.293046,2.749
0.387397,-0.291642,2.736
0.393546,-0.290665,2.727
0.400528,-0.290327,2.724
0.407941,-0.290309,2.724
0.414895,-0.289971,2.721
0.422608,-0.290165,2.723
0.430488,-0.290466,2.726
0.43999,-0.291832,2.739
0.449888,-0.29341,2.754
0.459866,-0.294988,2.769
0.467899,-0.295288,2.772
0.366592,-0.306717,2.805
0.372231,-0.305059,2.79
0.37738,-0.303073,2.772
0.382429,-0.301087,2.754
0.388086,-0.299648,2.741
0.394249,-0.298645,2.732
0.401097,-0.29819,2.728
0.408521,-0.298171,2.728
0.415791,-0.298043,2.727
0.42352,-0.298242,2.729
0.431732,-0.298769,2.734
0.441577,-0.300388,2.749
0.451502,-0.302007,2.764
0.461507,-0.303626,2.779
0.367619,-0.315261,2.813
0.37248,-0.312889,2.792
0.377498,-0.310742,2.773
0.382827,-0.30893,2.757
0.389059,-0.307903,2.748
0.39553,-0.3071,2.741
0.401961,-0.306297,2.734
0.409101,-0.306054,2.732
0.416382,-0.305922,2.731
0.424277,-0.306239,2.734
0.432976,-0.307115,2.742
0.443002,-0.308887,2.758
0.452951,-0.310546,2.773
0.46215,-0.311645,2.783
0.366948,-0.322355,2.808
0.372595,-0.320614,2.793
0.377888,-0.318644,2.776
0.383225,-0.316789,2.76
0.389607,-0.315852,2.752
0.396232,-0.315144,2.746
0.403117,-0.314666,2.742
0.41013,-0.314302,2.739
0.417582,-0.314282,2.739
0.425343,-0.314491,2.741
0.433903,-0.315274,2.748
0.442982,-0.316401,2.758
0.452277,-0.317642,2.769
0.461299,-0.318653,2.778
0.366668,-0.329773,2.806
0.372577,-0.328226,2.793
0.378277,-0.326562,2.779
0.384039,-0.325015,2.766
0.390861,-0.324409,2.761
0.397511,-0.323684,2.755
0.404421,-0.323194,2.751
0.411158,-0.322587,2.746
0.418781,-0.322684,2.747
0.426719,-0.323016,2.75
0.435303,-0.323817,2.757
0.443603,-0.324384,2.762
0.452583,-0.325419,2.771
0.461609,-0.326454,2.78
0.373358,-0.336559,2.799
0.378938,-0.334736,2.784
0.384853,-0.333274,2.772
0.391833,-0.332773,2.768
0.398934,-0.332392,2.765
0.405724,-0.331771,2.76
0.412635,-0.33127,2.756
0.420285,-0.331369,2.757
0.42825,-0.331709,2.76
0.435914,-0.331808,2.761
0.443903,-0.332147,2.764
0.453214,-0.333447,2.775
0.46163,-0.308689,2.57
0.466603,-0.307346,2.559
0.373472,-0.344308,2.8
0.379736,-0.343059,2.79
0.385805,-0.341686,2.779
0.392662,-0.341051,2.774
0.399779,-0.340662,2.771
0.406585,-0.340027,2.766
0.413812,-0.33976,2.764
0.421483,-0.339862,2.765
0.429159,-0.339963,2.766
0.436839,-0.340065,2.767
0.445006,-0.340534,2.771
0.454825,-0.342233,2.785
0.466946,-0.314558,2.561
0.472234,-0.31343,2.552
0.373852,-0.352313,2.803
0.380668,-0.351539,2.797
