7,42,5,81
x,y,z
1.71858,1.50613,7.908
1.7433,1.50889,7.923
1.76587,1.50975,7.928
1.78689,1.50928,7.926
1.7215,1.48713,7.921
1.74582,1.48947,7.934
1.76886,1.4907,7.941
1.78901,1.48948,7.935
1.72116,1.46527,7.919
1.74745,1.46925,7.941
1.7714,1.47119,7.952
1.79181,1.47018,7.947
1.74908,1.44899,7.948
1.77305,1.4509,7.959
1.79303,1.44953,7.952
1.74851,1.42689,7.945
1.77203,1.42841,7.954
1.79312,1.42796,7.952
1.77346,1.40789,7.96
1.79479,1.40763,7.959
1.75155,1.38604,7.958
1.77466,1.38717,7.965
1.79646,1.38725,7.966
0.835532,0.744437,5.685
0.942251,0.742932,5.676
0.836752,0.729983,5.693
0.845654,0.724297,5.649
0.857668,0.721432,5.627
0.873282,0.721643,5.629
0.889852,0.722623,5.637
0.906464,0.723603,5.645
0.923932,0.725222,5.658
0.944291,0.72902,5.688
0.835032,0.712974,5.681
0.847794,0.710671,5.663
0.86076,0.708619,5.647
0.876275,0.7087,5.648
0.890845,0.708028,5.643
0.907955,0.709363,5.654
0.927081,0.712202,5.677
0.948156,0.716421,5.711
0.962139,0.692824,5.524
0.974136,0.690645,5.507
1.08191,0.692313,5.523
0.836986,0.699097,5.694
0.849185,0.696353,5.672
0.863091,0.695082,5.662
0.87756,0.694301,5.656
0.892311,0.693766,5.652
0.909606,0.695194,5.664
0.929414,0.698463,5.691
0.950362,0.702467,5.724
0.962708,0.678154,5.527
0.975951,0.676881,5.517
0.98824,0.674994,5.502
0.999898,0.672739,5.484
1.01368,0.671956,5.478
1.02742,0.671173,5.472
1.04322,0.671739,5.477
1.05905,0.672304,5.482
0.839821,0.685867,5.713
0.852222,0.683304,5.692
0.864506,0.68074,5.671
0.878535,0.679617,5.662
0.892986,0.678853,5.656
0.910293,0.680249,5.668
0.929132,0.682725,5.689
0.949743,0.6864,5.72
0.975997,0.661861,5.517
0.988825,0.660376,5.505
1.00122,0.65865,5.491
1.01483,0.657765,5.484
1.02859,0.656999,5.478
1.04422,0.657432,5.482
1.05968,0.657744,5.485
0.853761,0.66897,5.702
0.86653,0.666817,5.684
0.88013,0.665367,5.672
0.896345,0.66591,5.677
0.913389,0.66704,5.687
0.931953,0.669225,5.706
0.951947,0.672347,5.733
0.978873,0.648715,5.533
0.991386,0.647029,5.519
1.00309,0.644873,5.501
1.01636,0.643773,5.492
1.02995,0.642907,5.485
1.04484,0.642861,5.485
1.06378,0.645276,5.506
0.853653,0.65332,5.701
0.867029,0.651674,5.687
0.881724,0.65106,5.682
0.899388,0.652622,5.696
0.916483,0.653725,5.706
0.934611,0.655515,5.722
0.984225,0.637083,5.563
0.995203,0.634405,5.54
1.0066,0.63207,5.52
1.02029,0.631224,5.513
1.03357,0.630148,5.504
1.05174,0.632049,5.521
0.84362,0.641964,5.738
0.853544,0.637673,5.7
0.867528,0.636514,5.69
0.883007,0.636473,5.69
0.900535,0.637885,5.703
0.918293,0.639409,5.717
0.936124,0.640933,5.731
0.956353,0.644021,5.759
0.988692,0.624727,5.588
1.00028,0.622447,5.568
1.01284,0.620838,5.554
1.02533,0.619229,5.54
1.04263,0.620526,5.552
1.05807,0.620705,5.554
1.07624,0.622448,5.57
0.843071,0.625888,5.734
0.855231,0.623339,5.711
0.869855,0.622644,5.705
0.885065,0.622386,5.703
0.901366,0.622891,5.708
0.918013,0.623614,5.715
0.935676,0.62499,5.728
0.992628,0.611905,5.61
1.00535,0.610335,5.596
1.01854,0.609092,5.585
1.03222,0.608177,5.577
1.04643,0.607588,5.572
1.0625,0.608089,5.577
0.843698,0.610684,5.738
0.856019,0.608304,5.716
0.871267,0.608052,5.714
0.886967,0.608119,5.715
0.902196,0.607867,5.713
0.919018,0.608678,5.721
0.935554,0.609275,5.727
0.954445,0.611362,5.747
0.984051,0.600706,5.648
0.996917,0.599175,5.634
1.00917,0.597325,5.617
1.02205,0.5959,5.604
1.0356,0.5949,5.595
1.04929,0.594007,5.587
1.06388,0.593644,5.584
0.845353,0.596181,5.749
0.857105,0.593448,5.723
0.872678,0.593409,5.723
0.888558,0.593578,5.725
0.904289,0.593643,5.726
0.921307,0.594536,5.735
0.937555,0.594911,5.739
0.952493,0.594456,5.735
0.987751,0.587493,5.669
1.00014,0.58569,5.652
1.01316,0.584302,5.639
1.02592,0.582809,5.625
1.0399,0.582042,5.618
1.05308,0.58086,5.607
1.06754,0.580403,5.603
0.861037,0.580469,5.749
0.874241,0.578817,5.733
0.889838,0.578779,5.733
0.905433,0.578741,5.733
0.922953,0.579913,5.745
0.939555,0.58048,5.751
0.95735,0.581752,5.764
0.991103,0.573962,5.688
1.00426,0.57261,5.675
1.01913,0.572266,5.672
1.03216,0.570914,5.659
1.04512,0.569561,5.646
1.05707,0.567704,5.628
1.07082,0.566855,5.62
0.863021,0.56607,5.762
0.876108,0.564364,5.745
0.890031,0.563246,5.734
0.906103,0.563504,5.737
0.923473,0.564546,5.748
0.998636,0.562682,5.731
1.00854,0.559501,5.699
1.02241,0.558577,5.69
1.03731,0.558242,5.687
1.04739,0.555355,5.658
1.05918,0.55345,5.639
1.05076,0.541655,5.676
1.06335,0.540184,5.661
